m,n,k,avg
0,163,2523,819,0.0216828
0,2130,1998,32,0.0177335
0,2523,950,163,0.0312903
0,32,2130,3965,0.0482421
0,1736,32,3965,0.0446004
0,1212,1212,3703,0.325062
0,1605,3572,3178,0.972769
0,163,1867,2916,0.052749
0,2261,32,1081,0.0139038
0,1736,1212,1212,0.143365
0,2916,1081,2392,0.433751
0,32,1736,1867,0.0216944
0,425,687,1474,0.0295547
0,1998,1343,2523,0.371898
0,1605,1343,163,0.018922
0,819,425,2523,0.0561827
0,1998,32,819,0.00680025
0,1081,163,1212,0.0144326
0,294,3441,425,0.0323215
0,1605,425,1343,0.0635971
0,3834,163,3047,0.130937
0,3047,3703,163,0.0673203
0,1343,32,2261,0.0137622
0,32,2916,819,0.0130462
0,32,3703,2523,0.0409606
0,3572,950,950,0.183595
0,425,2130,3309,0.173886
0,294,1998,2261,0.0981459
0,687,950,2130,0.0840913
0,1474,3441,1998,0.554973
0,687,2261,163,0.0150873
0,163,1343,1212,0.0156088
0,556,556,3178,0.064718
0,32,425,2916,0.00619056
0,1736,1736,294,0.0494798
0,32,1212,163,0.00382334
0,1212,3965,2654,0.758997
0,425,163,32,0.000384746
0,819,687,425,0.0151269
0,294,3965,1081,0.0826306
0,3965,2392,163,0.0646423
0,687,1081,1474,0.0599895
0,1474,1474,2392,0.269776
0,163,2261,425,0.0105683
0,3834,687,3178,0.453157
0,3047,32,556,0.00722164
0,2130,163,950,0.0233574
0,2261,1605,687,0.148287
0,32,2392,1474,0.0215263
0,3703,819,32,0.010542
0,3178,687,1343,0.160358
0,2392,32,3047,0.0319508
0,3572,425,1081,0.117378
0,819,3178,294,0.0513972
0,163,1605,3834,0.0855329
0,556,3178,687,0.0691941
0,950,819,819,0.0365232
0,32,1998,2785,0.0366308
0,819,163,1867,0.0164269
0,294,3178,1605,0.0954822
0,1474,163,294,0.00507798
0,2654,32,1998,0.0270993
0,1867,687,687,0.0565654
0,163,3834,556,0.0221114
0,3834,1212,1736,0.475056
0,2130,1736,294,0.0601018
0,2916,3309,32,0.027351
0,4096,32,3441,0.0979691
0,3178,163,687,0.0235699
0,2654,3309,163,0.0647611
0,1605,3309,3441,1.0104
0,3441,425,1605,0.150834
0,163,1081,2130,0.0281944
0,2785,819,950,0.130299
0,556,3703,294,0.027765
0,950,1343,687,0.0549965
0,32,1474,1081,0.00987935
0,425,425,1212,0.0149146
0,32,2916,3965,0.0519624
0,1998,1081,2261,0.275803
0,1605,1081,950,0.100953
0,819,1736,3834,0.304748
0,1998,819,32,0.0074099
0,294,3703,163,0.0107052
0,2261,1343,687,0.133342
0,687,32,2785,0.00966102
0,3047,294,4096,0.254603
0,1343,1081,294,0.0262416
0,1343,294,3047,0.0809369
0,2523,163,556,0.0175482
0,3703,32,3309,0.0593513
0,2916,687,950,0.105094
0,32,3441,2261,0.044856
0,1212,1736,1343,0.163591
0,687,1998,1474,0.13067
0,1998,3309,1081,0.413763
0,1867,819,2130,0.183097
0,950,163,4096,0.04755
0,819,3965,1998,0.362391
0,1998,32,3441,0.0327439
0,556,3441,3441,0.372359
0,1343,3047,687,0.159583
0,32,163,2654,0.00216153
0,819,950,163,0.00781253
0,1605,1605,556,0.0802123
0,819,1212,2130,0.122344
0,294,32,1343,0.00229932
0,1474,425,950,0.0344039
0,2654,294,2130,0.0903277
0,2261,2916,32,0.0263026
0,163,2523,1736,0.0467854
0,3047,819,294,0.0483531
0,1343,1605,1998,0.287275
0,2523,950,1081,0.14426
0,3572,1474,556,0.181006
0,32,2130,687,0.00768482
0,3703,556,1867,0.22882
0,2916,163,1343,0.046433
0,4096,294,163,0.0109181
0,3178,425,1605,0.130894
0,425,1605,3309,0.12626
0,2392,294,2261,0.0888593
0,3572,163,819,0.0288757
0,2916,1605,294,0.0728757
