nnodes,ppn,nthreads,order,ndirsets,ngroupsets,nzonesetsx,nzonesetsy,nzonesetsz,ngroups,ndirections,nx,ny,nz,legendre_order,solver,k1,k2,k3,k4,k5,k6,k7,k8,k9
0,1,2,64,2,16,32,1,1,1,32,16,32,32,32,4,0,0.135038,2.07433,0.159296,0.230261,1.56075,7.61618,0.00279551,3.1548,3.00904
0,1,32,2,0,16,16,1,1,1,80,32,32,32,32,0,1,0.0455144,0.0181509,0.0205165,0.206252,0.21418,3.5077,0.0012431,2.92927,0.64612
0,1,32,4,0,24,32,1,1,1,32,48,32,32,32,1,1,0.0665415,0.0444234,0.0335609,0.314179,0.103544,5.92065,0.00104429,5.35643,0.677183
0,1,8,16,5,8,8,1,1,1,8,96,32,32,32,2,0,0.0334669,0.0862298,0.0748516,0.0310329,0.0255833,0.733634,0.000478759,0.405062,0.345021
0,1,16,8,5,24,8,1,1,1,32,120,32,32,32,4,1,0.043261,0.669608,0.719337,283.897,0.478045,293.453,0.000645663,7.41904,1.28737
0,1,64,1,1,24,2,1,1,1,8,72,32,32,32,3,1,0.0480677,0.113431,0.159024,0.01898,0.0368048,0.601529,0.000302722,0.250651,0.167931
0,1,4,16,1,64,1,1,1,1,48,128,32,32,32,4,1,0.119914,4.1726,1.26054,0.216428,1.57348,19.3204,0.000740898,11.3827,6.81081
0,1,32,4,1,64,32,1,1,1,64,128,32,32,32,2,1,0.162132,1.67459,2.21618,2.94635,1.69728,72.9944,0.00131938,64.1547,3.81346
0,1,16,4,3,8,2,1,1,1,80,88,32,32,32,3,0,0.0454142,1.37057,1.18437,0.448827,6.19088,13.0536,0.00104552,3.64824,1.55889
0,1,8,8,5,40,2,1,1,1,16,40,32,32,32,3,0,0.0367039,0.133124,0.238225,0.0945847,0.12148,1.13143,0.000314839,0.450567,0.336204
0,1,32,4,2,16,8,1,1,1,112,64,32,32,32,4,0,0.0493161,0.495745,0.489812,0.102324,5.55577,8.11353,0.0011849,1.15182,1.02663
