nnodes,ppn,nthreads,order,ndirsets,ngroupsets,nzonesetsx,nzonesetsy,nzonesetsz,ngroups,ndirections,nx,ny,nz,legendre_order,solver,k1,k2,k3,k4,k5,k6,k7,k8,k9
0,1,64,1,0,48,4,1,1,1,56,96,32,32,32,2,0,0.0646182,0.181274,0.18014,0.125659,0.638008,2.26318,0.00083875,0.94133,0.814911
0,1,64,1,1,24,32,1,1,1,32,72,32,32,32,2,0,0.10112,0.757396,0.864443,0.0883906,0.755082,3.98767,0.000780095,1.45626,0.666616
0,1,64,1,5,16,8,1,1,1,32,96,32,32,32,3,1,0.0558254,0.49686,0.350998,0.335695,0.425325,3.25871,0.00055719,1.51792,0.663806
0,1,64,1,5,8,32,1,1,1,32,64,32,32,32,2,1,0.0707747,0.153569,0.126431,0.294384,0.322001,3.03171,0.00075585,2.05698,0.674283
0,1,64,1,0,48,8,1,1,1,32,96,32,32,32,1,0,0.0841613,0.0406259,0.040258,0.0847443,0.0952554,1.04941,0.000581916,0.67996,0.489768
0,1,64,1,1,32,1,1,1,1,16,32,32,32,32,0,1,0.0455939,0.00538042,0.00550713,0.0595122,0.00814022,0.246038,0.000324982,0.147495,0.0959434
0,1,64,1,5,40,4,1,1,1,48,80,32,32,32,2,0,0.0607469,0.37666,0.433613,0.165441,0.582058,2.46207,0.00059653,0.751696,0.609234
0,1,64,1,3,48,1,1,1,1,128,48,32,32,32,4,1,0.0579004,1.43043,4.63969,0.689896,13.9309,23.0683,0.001353,2.17315,1.45482
0,1,64,1,1,56,16,1,1,1,64,112,32,32,32,2,0,0.153533,0.991323,1.28009,0.167967,1.41805,6.14247,0.00109748,2.09177,1.35712
0,1,64,1,2,64,8,1,1,1,40,128,32,32,32,1,0,0.103321,0.0659541,0.0650895,0.14471,0.148354,1.7477,0.000683462,1.14346,0.81381
0,1,64,1,5,32,8,1,1,1,8,64,32,32,32,3,1,0.0597622,0.0902487,0.086432,0.169844,0.0319153,1.09463,0.000239644,0.70223,0.282769
0,1,64,1,5,8,8,1,1,1,32,8,32,32,32,2,0,0.0444476,0.0234139,0.0439125,0.0199019,0.273191,0.482947,0.000476002,0.103933,0.0639946
0,1,64,1,3,32,2,1,1,1,8,32,32,32,32,3,0,0.0457087,0.0424892,0.127836,0.0272898,0.0277295,0.324237,0.000513558,0.0872516,0.0692343
0,1,64,1,5,16,32,1,1,1,96,112,32,32,32,3,1,0.109805,1.73364,1.15837,2.78963,3.88056,23.8614,0.00151597,13.877,2.54966
0,1,64,1,4,56,1,1,1,1,24,112,32,32,32,2,1,0.0454805,0.11705,0.145176,0.102174,0.11777,1.58054,0.00051386,0.984172,0.639295
0,1,64,1,5,16,1,1,1,1,24,112,32,32,32,0,1,0.0430773,0.0962386,0.0295698,0.0825255,0.0252069,0.817587,0.000269825,0.476867,0.340966
0,1,64,1,0,8,1,1,1,1,88,24,32,32,32,2,1,0.0474103,0.0668959,0.0800331,0.0815065,1.57075,2.19392,0.00114451,0.327346,0.277027
0,1,64,1,3,16,8,1,1,1,104,80,32,32,32,0,1,0.0543616,0.305801,0.0970877,0.453519,0.481674,5.21051,0.00138405,3.53678,1.28219
0,1,64,1,0,48,16,1,1,1,80,96,32,32,32,2,0,0.135563,0.194703,0.200542,0.14589,1.3064,4.22758,0.00121043,2.12919,1.23244
0,1,64,1,4,56,1,1,1,1,8,56,32,32,32,3,1,0.0471407,0.0762995,0.114195,0.00537822,0.0347714,0.47943,0.000322005,0.23255,0.153217
0,1,64,1,1,48,4,1,1,1,32,48,32,32,32,3,1,0.063442,0.251014,0.349984,0.201407,0.508959,2.57825,0.000654595,1.2012,0.415782
0,1,64,1,5,32,1,1,1,1,40,96,32,32,32,0,1,0.0446807,0.162591,0.0685575,0.279481,0.0657436,1.67333,0.000426668,0.940906,0.589892
0,1,64,1,5,24,16,1,1,1,32,48,32,32,32,2,0,0.0717669,0.14655,0.197623,0.0521968,0.298139,1.32931,0.000705052,0.579894,0.390679
0,1,64,1,4,8,8,1,1,1,16,8,32,32,32,4,0,0.0461189,0.0618709,0.132066,0.00822641,0.383422,0.707011,0.000520374,0.102273,0.0453067
0,1,64,1,5,40,32,1,1,1,32,40,32,32,32,0,0,0.12879,0.0550289,0.0644869,0.0753259,0.0913683,3.3886,0.000692192,3.09314,0.835344
0,1,64,1,4,40,8,1,1,1,24,120,32,32,32,2,0,0.0788861,0.410795,0.541765,0.068266,0.21706,2.13048,0.000589453,0.785463,0.540135
0,1,64,1,4,8,16,1,1,1,16,40,32,32,32,0,1,0.0507576,0.0561769,0.0290749,0.100971,0.0265467,0.714271,0.00053598,0.480765,0.252004
0,1,64,1,0,64,8,1,1,1,48,128,32,32,32,4,1,0.106213,0.584408,0.532785,1.13557,1.31004,12.0378,0.000853776,8.25896,1.28277
0,1,64,1,5,48,2,1,1,1,16,48,32,32,32,2,0,0.0503914,0.0614738,0.127095,0.075617,0.0665005,0.542257,0.000279628,0.181693,0.152935
0,1,64,1,4,32,32,1,1,1,96,32,32,32,32,4,1,0.133879,1.09853,2.24257,1.17324,9.62412,23.829,0.00168711,9.52757,1.10243
0,1,64,1,4,8,1,1,1,1,88,56,32,32,32,3,0,0.0677502,0.264264,0.276031,0.535949,2.66654,4.75692,0.00107908,0.969174,0.702931
0,1,64,1,1,48,4,1,1,1,112,48,32,32,32,0,0,0.0685953,0.0396969,0.0376625,0.145817,0.277838,1.61847,0.00133246,0.908859,0.774369
0,1,64,1,3,40,2,1,1,1,8,40,32,32,32,1,1,0.0450707,0.0167876,0.0493265,0.0570926,0.00834634,0.322747,0.000248835,0.180027,0.0964691
0,1,64,1,1,40,32,1,1,1,64,40,32,32,32,0,0,0.142225,0.122796,0.118398,0.0803852,0.262417,3.70338,0.00121814,3.06475,0.667531
0,1,64,1,3,24,4,1,1,1,8,24,32,32,32,0,0,0.0469773,0.00787866,0.00739171,0.0190923,0.00551697,0.123563,0.00075684,0.0771561,0.056874
0,1,64,1,1,56,8,1,1,1,8,56,32,32,32,0,0,0.0701262,0.0400498,0.038931,0.0387772,0.00780918,0.491742,0.000338864,0.360467,0.157946
0,1,64,1,0,40,1,1,1,1,16,80,32,32,32,3,0,0.0450625,0.0764395,0.0755066,0.0720843,0.0935132,0.582485,0.000365435,0.209768,0.191853
0,1,64,1,4,48,16,1,1,1,48,96,32,32,32,0,1,0.121528,0.17411,0.127257,0.799174,0.113065,12.1208,0.000934363,10.758,1.35511
0,1,64,1,4,48,8,1,1,1,56,96,32,32,32,2,0,0.0887851,0.46381,0.601418,0.135329,0.928408,3.5962,0.000908141,1.25842,0.919105
0,1,64,1,5,40,16,1,1,1,16,40,32,32,32,4,1,0.0822437,0.147075,0.224728,0.316711,0.175575,2.85769,0.000427549,1.97592,0.480098
