m,n,k,avg,std
98795,1432,2678,256,0.00154539,0.021196
98796,1675,2678,256,0.00176788,0.0157377
98797,1958,2678,256,0.0020237,0.0575032
98798,2290,2678,256,0.00230323,0.0161268
98799,2678,2678,256,0.00255035,0.0254335
98800,3132,2678,256,0.00293673,0.00644322
98801,3663,2678,256,0.00377956,0.00780739
98802,4283,2678,256,0.00377843,0.00892754
98803,5009,2678,256,0.00428524,0.00563913
98804,5858,2678,256,0.00500803,0.0184222
98805,6850,2678,256,0.0057641,0.0156933
98806,8011,2678,256,0.00659065,0.00777845
98807,9368,2678,256,0.00798879,0.00486935
98808,10955,2678,256,0.00922318,0.00114427
98809,12812,2678,256,0.010136,0.00540261
98810,14982,2678,256,0.0116763,0.00979584
98811,17521,2678,256,0.013563,0.00437784
98812,20489,2678,256,0.0165096,0.00236109
98813,23961,2678,256,0.0180868,0.00306889
98814,28020,2678,256,0.0212824,0.00833974
98815,32768,2678,256,0.0875277,0.0203774
98816,256,3132,256,0.000676785,0.0553233
98817,299,3132,256,0.000740163,0.0473985
98818,350,3132,256,0.000798639,0.0535683
98819,409,3132,256,0.000844252,0.0366256
98820,479,3132,256,0.000990125,0.0165229
98821,560,3132,256,0.000965868,0.00812322
98822,655,3132,256,0.00113965,0.0508288
98823,766,3132,256,0.00121302,0.0232807
98824,895,3132,256,0.00139591,0.0405427
98825,1047,3132,256,0.00149912,0.035674
98826,1225,3132,256,0.00156162,0.0242435
98827,1432,3132,256,0.00176045,0.0178315
98828,1675,3132,256,0.00200716,0.009377
98829,1958,3132,256,0.00225471,0.0156808
98830,2290,3132,256,0.00252011,0.0143577
98831,2678,3132,256,0.00284526,0.0122293
98832,3132,3132,256,0.0033046,0.00525247
98833,3663,3132,256,0.00379264,0.00460923
98834,4283,3132,256,0.00446207,0.00914447
98835,5009,3132,256,0.00486918,0.00441712
98836,5858,3132,256,0.0056503,0.00828849
98837,6850,3132,256,0.00658303,0.00692697
98838,8011,3132,256,0.00753354,0.00859124
98839,9368,3132,256,0.00875238,0.00549457
98840,10955,3132,256,0.0100617,0.00279038
98841,12812,3132,256,0.0115894,0.00514958
98842,14982,3132,256,0.0132375,0.00362775
98843,17521,3132,256,0.0158055,0.00870416
98844,20489,3132,256,0.0189302,0.00475753
98845,23961,3132,256,0.0209192,0.00848171
98846,28020,3132,256,0.024031,0.00100108
98847,32768,3132,256,0.0906022,0.0237279
98848,256,3663,256,0.000868074,0.00753362
98849,299,3663,256,0.000949792,0.0181108
98850,350,3663,256,0.00103503,0.00933514
98851,409,3663,256,0.00108865,0.0191278
98852,479,3663,256,0.00128216,0.0226523
98853,560,3663,256,0.00126817,0.026884
98854,655,3663,256,0.00150348,0.00972186
98855,766,3663,256,0.00161515,0.01778
98856,895,3663,256,0.0018457,0.0121049
98857,1047,3663,256,0.00199867,0.00298957
98858,1225,3663,256,0.00215782,0.0134848
98859,1432,3663,256,0.00243895,0.00471274
98860,1675,3663,256,0.0028211,0.0110163
98861,1958,3663,256,0.00319355,0.00782296
98862,2290,3663,256,0.00354805,0.00826849
98863,2678,3663,256,0.0041432,0.00583632
98864,3132,3663,256,0.00470045,0.00431844
98865,3663,3663,256,0.00545812,0.00595608
98866,4283,3663,256,0.00627721,0.00733418
98867,5009,3663,256,0.00717048,0.00311022
98868,5858,3663,256,0.0082387,0.00345359
98869,6850,3663,256,0.00956711,0.0026002
98870,8011,3663,256,0.0110754,0.00366355
98871,9368,3663,256,0.0129845,0.00454795
98872,10955,3663,256,0.0149146,0.00189561
98873,12812,3663,256,0.017589,0.00626481
98874,14982,3663,256,0.0198581,0.00244833
98875,17521,3663,256,0.0232933,0.00774307
98876,20489,3663,256,0.0279786,0.00559794
98877,23961,3663,256,0.0314059,0.00745919
98878,28020,3663,256,0.0362931,0.00916917
98879,32768,3663,256,0.10686,0.0254575
98880,256,4283,256,0.000957695,0.0171698
98881,299,4283,256,0.00103887,0.00865775
98882,350,4283,256,0.00112841,0.0253854
98883,409,4283,256,0.001173,0.0238112
98884,479,4283,256,0.00136919,0.0323177
