node ppn nthreads layout dset gset zsetx zsety zsetz groups quad zonex zoney zonez legendre solver k1 k2 k3 k4 k5 Solver k7 SweepSolver k9
0 1 32 2 2 16 8 1 1 1 64 16 16 16 16 2 1 0.0281284 0.00716915 0.00770545 0.00418829 0.140152 0.37787 0.000491201 0.210728 0.0537474
0 1 32 2 3 8 1 1 1 1 32 16 16 16 16 1 0 0.0229027 0.0054308 0.00720047 0.00964962 0.0193235 0.080766 0.000239407 0.0337145 0.0175392
0 1 32 2 3 16 2 1 1 1 48 16 16 16 16 4 0 0.0247414 0.0260871 0.0917489 0.0141503 0.218475 0.403156 0.000281192 0.0419036 0.0328482
0 1 32 2 4 24 1 1 1 1 40 24 24 24 24 3 1 0.0256353 0.0360516 0.0488426 0.0161906 0.275894 0.5611 0.000409571 0.1626 0.102734
0 1 32 2 4 16 1 1 1 1 32 16 16 16 16 0 0 0.0225227 0.00108233 0.00154313 0.0111596 0.00372114 0.052759 0.000480335 0.0299981 0.0182691
0 1 32 2 2 24 4 1 1 1 16 24 24 24 24 0 1 0.0270568 0.0031079 0.00317486 0.00740855 0.00403799 0.205047 0.000369778 0.179298 0.0624481
0 1 32 2 3 8 1 1 1 1 40 16 8 8 8 2 0 0.0229729 0.00155451 0.00248375 0.00403489 0.00846026 0.0309505 0.000682395 0.0106964 0.0041092
0 1 32 2 4 8 1 1 1 1 8 8 24 24 24 0 1 0.0237607 0.00102162 0.00184552 0.004422 0.00184826 0.0338695 0.000630674 0.0200595 0.0147051
0 1 32 2 2 24 2 1 1 1 8 24 24 24 24 0 1 0.024943 0.00204143 0.00199858 0.0063945 0.00241976 0.0852108 0.000829395 0.0661923 0.0341906
0 1 32 2 2 24 1 1 1 1 32 24 24 24 24 3 1 0.0260158 0.0238294 0.0258397 0.0059832 0.182894 0.392517 0.000510594 0.134389 0.0851953
0 1 32 2 5 8 2 2 2 2 16 8 16 16 16 3 1 0.0257763 0.00516379 0.00778574 0.0108074 0.0181559 0.1246 0.000340992 0.0794856 0.0304174
0 1 32 2 2 8 1 1 1 1 8 32 16 16 16 4 1 0.0234967 0.00402257 0.00415919 0.00553325 0.00664576 0.0408289 0.000486109 0.014824 0.00841108
0 1 32 2 3 8 8 2 2 2 8 8 16 16 16 4 1 0.0329939 0.00985531 0.0159173 0.0288151 0.0266384 0.373879 0.0013708 0.288585 0.0591085
0 1 32 2 5 8 8 1 1 1 32 8 24 24 24 3 1 0.0254575 0.0227636 0.0331673 0.0129368 0.219551 0.427814 0.000384912 0.125141 0.0780304
0 1 32 2 1 24 2 1 1 1 64 24 24 24 24 1 1 0.02807 0.023596 0.0258747 0.0249543 0.179564 0.706572 0.000470332 0.422629 0.264843
0 1 32 2 5 8 4 1 1 1 40 32 8 8 8 0 0 0.0233544 0.00146429 0.00109745 0.00340036 0.00233693 0.0323148 0.000132418 0.021146 0.00997706
0 1 32 2 4 8 1 1 1 1 64 16 24 24 24 3 0 0.025124 0.0342641 0.0497849 0.0866927 0.669329 0.990055 0.000469921 0.12304 0.095464
0 1 32 2 1 8 4 2 2 2 40 16 16 16 16 2 1 0.0319149 0.00924261 0.010449 0.0413018 0.0620869 0.532167 0.000666487 0.404565 0.0432917
0 1 32 2 1 8 4 2 2 2 8 24 16 16 16 2 1 0.0290404 0.010699 0.0138843 0.0151619 0.0109469 0.227061 0.000677152 0.173329 0.0399009
0 1 32 2 4 8 2 1 1 1 48 8 8 8 8 2 0 0.0221682 0.000947781 0.00140716 0.00306124 0.0113234 0.0302631 0.000479302 0.010032 0.00541623
0 1 32 2 5 8 2 2 2 2 24 8 16 16 16 4 0 0.0253892 0.00772319 0.0148776 0.015241 0.0551872 0.151345 0.000328562 0.0535648 0.0288182
0 1 32 2 2 16 2 1 1 1 8 32 16 16 16 2 0 0.0240087 0.00188218 0.0023244 0.00478506 0.00329284 0.0373412 0.000724272 0.0203641 0.00890606
0 1 32 2 3 8 8 1 1 1 16 8 8 8 8 2 0 0.0230527 0.00136028 0.00195999 0.00344211 0.0034042 0.0376399 0.000633122 0.0231142 0.00670038
0 1 32 2 4 24 8 1 1 1 8 24 24 24 24 3 0 0.0295595 0.0612755 0.137622 0.0136901 0.0446973 0.423957 0.000464909 0.161464 0.110886
0 1 32 2 2 16 4 1 1 1 48 16 16 16 16 4 1 0.0253058 0.0126585 0.0137508 0.00254742 0.219224 0.359604 0.000383841 0.0997692 0.0396812
0 1 32 2 4 24 2 1 1 1 40 24 24 24 24 4 0 0.0295763 0.0674964 0.10477 0.0273882 0.496393 0.852777 0.000442017 0.133058 0.115801
0 1 32 2 4 16 4 1 1 1 40 16 16 16 16 0 0 0.0249935 0.00290254 0.00275974 0.00735653 0.00836189 0.0838831 0.000418852 0.0576339 0.0396507
0 1 32 2 1 8 2 2 2 2 56 8 16 16 16 2 0 0.0279792 0.00579045 0.00706006 0.0155797 0.102119 0.18608 0.00051253 0.0502272 0.030211
0 1 32 2 3 16 8 1 1 1 32 32 16 16 16 3 0 0.0287873 0.0300173 0.0523356 0.0114572 0.0694468 0.246136 0.000349752 0.0751844 0.0444757
0 1 32 2 5 8 4 2 2 2 16 16 16 16 16 4 1 0.0290891 0.0123722 0.0199305 0.0113075 0.0311141 0.304104 0.000579866 0.225099 0.0584279
0 1 32 2 5 8 2 2 2 2 16 8 16 16 16 3 0 0.0256586 0.00489293 0.00705371 0.0152489 0.0181202 0.102661 0.000334175 0.054183 0.0295032
0 1 32 2 0 16 4 1 1 1 56 32 16 16 16 1 1 0.0256457 0.00621316 0.00583382 0.0121157 0.0514036 0.270308 0.000403466 0.182525 0.0634637
0 1 32 2 2 8 4 2 2 2 32 32 16 16 16 3 0 0.0340698 0.0216605 0.0214471 0.0201349 0.0705484 0.246963 0.000783568 0.106545 0.0601898
0 1 32 2 1 8 1 2 2 2 40 8 16 16 16 0 1 0.0262808 0.0014642 0.00173038 0.00761607 0.00694576 0.0918565 0.000400601 0.0705306 0.0218708
0 1 32 2 0 24 1 1 1 1 24 24 24 24 24 1 0 0.0242885 0.00504429 0.00690619 0.0316296 0.0255084 0.154985 0.000372364 0.0725438 0.0575086
0 1 32 2 3 8 1 1 1 1 24 32 24 24 24 1 0 0.0238785 0.0251905 0.0260174 0.0467034 0.0319628 0.255684 0.000285052 0.1094 0.0714821
0 1 32 2 4 24 1 1 1 1 8 24 24 24 24 1 0 0.0240051 0.00552211 0.00677299 0.0133041 0.00500774 0.0797877 0.000506867 0.0435855 0.0304546
0 1 32 2 0 8 4 2 2 2 16 16 16 16 16 2 0 0.0285144 0.00654037 0.00800172 0.0122783 0.0150097 0.128549 0.000714809 0.0830538 0.0342857
0 1 32 2 4 24 8 1 1 1 8 24 24 24 24 1 1 0.0303338 0.0231838 0.0426113 0.0261454 0.0135753 0.36273 0.000364366 0.253694 0.13109
0 1 32 2 1 16 4 1 1 1 8 32 16 16 16 1 1 0.0245983 0.0056068 0.00676726 0.00888987 0.00376533 0.0750342 0.000221123 0.0470499 0.0199208
0 1 32 2 3 8 8 1 1 1 64 8 24 24 24 0 1 0.0276492 0.00938567 0.0103312 0.0119594 0.107449 0.334109 0.000713035 0.184818 0.0999358
0 1 32 2 1 24 8 1 1 1 48 24 24 24 24 4 0 0.0356167 0.165606 0.286097 0.0208484 1.03347 1.7767 0.000517803 0.230738 0.18544
