,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,4,16,15124,cube,223,4,12,0.001327,0.005311,5e-06,0.00362,0.043729,0.429764,1.05441,0.003208,1.54101
0,1,4,16,14212,cube,138,1,6,0.001042,0.003847,5e-06,0.002484,0.040782,0.051546,0.139023,0.00079,0.239428
0,1,4,16,14948,cube,205,4,12,0.001417,0.005503,6e-06,0.003924,0.040504,0.544927,1.11907,0.003165,1.71801
0,1,4,16,14768,cube,116,3,5,0.001481,0.004516,5e-06,0.002863,0.049843,0.098963,0.087187,0.000655,0.245021
0,1,4,16,14888,cube,60,4,6,0.00151,0.005293,6e-06,0.002973,0.042802,0.523253,0.146144,0.000828,0.722318
0,1,4,16,15056,cube,47,2,4,0.001258,0.004379,5e-06,0.002649,0.043929,0.052933,0.05596,0.000565,0.161347
0,1,4,16,14524,cube,47,3,12,0.001432,0.004901,5e-06,0.004205,0.056315,0.114657,1.11618,0.003654,1.30091
0,1,4,16,15476,cube,241,4,8,0.001147,0.004777,5e-06,0.002606,0.035585,0.360189,0.2793,0.001353,0.684742
0,1,4,32,14952,cube,173,3,12,0.001105,0.004895,5e-06,0.003817,0.052997,0.19386,1.85622,0.004932,2.11775
0,1,4,32,15668,cube,70,2,11,0.001132,0.004032,5e-06,0.003611,0.055123,0.081061,1.29286,0.004776,1.44254
0,1,4,32,16360,cube,233,1,14,0.001165,0.004567,6e-06,0.003936,0.052644,0.08882,2.69635,0.007437,2.8548
0,1,4,32,15164,cube,165,2,10,0.001538,0.004373,6e-06,0.003753,0.05603,0.071731,0.931986,0.003861,1.0728
0,1,4,32,14644,cube,172,4,12,0.001239,0.005208,5e-06,0.00396,0.051515,0.592105,1.82791,0.006084,2.4879
0,1,4,32,14404,cube,121,2,12,0.001153,0.00411,5e-06,0.00368,0.041013,0.09536,1.68123,0.00482,1.83125
0,1,4,32,16364,cube,148,1,10,0.001292,0.004288,5e-06,0.003431,0.047484,0.073727,0.914925,0.003343,1.04825
0,1,4,32,16084,cube,80,2,14,0.001365,0.004367,6e-06,0.004616,0.047909,0.103533,2.97237,0.007541,3.14144
0,1,4,32,14712,cube,36,3,6,0.001189,0.004289,5e-06,0.002947,0.044244,0.205943,0.297467,0.001519,0.557448
0,1,4,32,15976,cube,104,1,7,0.001217,0.004878,7e-06,0.003056,0.044277,0.069333,0.341145,0.00178,0.465544
0,1,4,32,16088,cube,245,2,9,0.001367,0.004619,5e-06,0.003148,0.06328,0.061999,0.60599,0.003521,0.743563
0,1,4,32,14344,cube,211,1,7,0.001499,0.004818,6e-06,0.002837,0.047579,0.054089,0.315691,0.001596,0.427674
0,1,4,32,14584,cube,118,2,12,0.001264,0.004427,6e-06,0.003977,0.053672,0.095851,1.75539,0.004937,1.91929
0,1,4,32,14804,cube,253,1,6,0.001086,0.004371,5e-06,0.001741,0.052818,0.04223,0.176308,0.001259,0.279724
0,1,4,32,15480,cube,59,1,6,0.001192,0.004281,5e-06,0.002677,0.044699,0.063278,0.214012,0.001311,0.331318
0,1,4,32,14600,cube,156,3,14,0.001248,0.004899,5e-06,0.00452,0.060375,0.165202,2.88303,0.006953,3.12607
0,1,4,32,14204,cube,146,2,7,0.001104,0.004435,5e-06,0.0027,0.043574,0.070523,0.334873,0.001587,0.458762
0,1,4,32,16348,cube,90,4,11,0.001346,0.004829,5e-06,0.003841,0.044423,0.600401,1.37939,0.004299,2.03825
0,1,4,32,16320,cube,155,3,15,0.001362,0.005132,5e-06,0.005215,0.055034,0.174684,4.0183,0.008945,4.26836
0,1,2,32,15028,cube,173,2,14,0.001925,0.006707,6e-06,0.008605,0.057313,0.075451,2.28002,0.004787,2.43389
0,1,2,32,15238,cube,98,1,12,0.001926,0.006299,5e-06,0.007633,0.062527,0.053703,1.28298,0.003367,1.41752
0,1,2,32,14692,cube,255,3,8,0.001974,0.006863,6e-06,0.003685,0.049752,0.056074,0.240524,0.001596,0.359517
0,1,2,32,14818,cube,54,4,5,0.001847,0.007155,6e-06,0.0055,0.05474,0.993635,0.110661,0.000844,1.17354
0,1,2,32,14400,cube,145,2,10,0.001827,0.006343,7e-06,0.006731,0.056193,0.05991,0.718801,0.002165,0.851151
0,1,2,32,15286,cube,35,4,10,0.002219,0.00684,7e-06,0.010001,0.055987,2.03957,1.21648,0.003748,3.33369
0,1,2,32,15900,cube,37,2,15,0.001967,0.006913,7e-06,0.013273,0.061971,0.126102,4.62346,0.008129,4.84088
0,1,2,32,16252,cube,176,4,5,0.002244,0.007947,7e-06,0.00593,0.051622,0.984834,0.129517,0.00087,1.18172
0,1,2,32,14228,cube,238,3,14,0.001923,0.006841,7e-06,0.004651,0.05763,0.062272,1.25391,0.005296,1.39161
0,1,2,32,15420,cube,125,3,8,0.00191,0.007093,6e-06,0.006308,0.054622,0.160283,0.425559,0.001636,0.656506
0,1,2,32,15162,cube,85,1,14,0.001882,0.006361,6e-06,0.008719,0.058662,0.058744,2.26215,0.004783,2.40042
0,1,2,32,14566,cube,226,4,15,0.001862,0.006349,7e-06,0.006893,0.061685,0.632508,2.41242,0.006328,3.12714
0,1,2,32,15506,cube,46,1,14,0.002046,0.006745,7e-06,0.008891,0.061784,0.060267,2.26216,0.004819,2.40577
0,1,2,32,16354,cube,226,2,10,0.002058,0.007403,6e-06,0.00713,0.055882,0.068387,0.691114,0.00228,0.833181
0,1,2,32,14792,cube,123,1,14,0.002241,0.006695,6e-06,0.009306,0.058328,0.06279,2.28147,0.004804,2.42449
0,1,2,64,14998,cube,219,1,5,0.001968,0.006166,6e-06,0.005078,0.060402,0.058692,0.151794,0.00101,0.284272
0,1,2,64,14564,cube,146,4,5,0.001852,0.006362,7e-06,0.005194,0.064128,1.04368,0.160786,0.001189,1.28245
0,1,2,64,15352,cube,218,4,7,0.002298,0.006875,8e-06,0.006095,0.068631,0.986621,0.440177,0.002,1.51158
0,1,2,64,14188,cube,81,4,7,0.001821,0.005893,6e-06,0.005834,0.064824,1.04332,0.461825,0.001903,1.58468
0,1,2,64,15738,cube,239,3,4,0.002114,0.00741,7e-06,0.004831,0.064729,0.171761,0.129795,0.000955,0.380549
0,1,2,64,15776,cube,231,3,8,0.00195,0.007532,6e-06,0.00585,0.06424,0.205906,0.587244,0.002428,0.874259
0,1,2,64,15914,cube,218,4,6,0.002116,0.008022,7e-06,0.00591,0.071187,1.023,0.307451,0.001775,1.41844
0,1,2,64,14728,cube,41,3,5,0.002101,0.007103,6e-06,0.005634,0.071535,0.226096,0.179989,0.001274,0.49269
0,1,2,64,15076,cube,114,3,14,0.002019,0.007075,7e-06,0.008761,0.068301,0.257212,3.78903,0.0081,4.13951
0,1,2,64,14006,cube,222,4,13,0.001798,0.007121,6e-06,0.005229,0.064521,0.614097,1.61405,0.006583,2.31269
0,1,2,64,16204,cube,235,2,15,0.001981,0.006986,6e-06,0.008531,0.074085,0.101047,3.75147,0.009383,3.95259
0,1,2,64,15432,cube,46,4,9,0.002148,0.006496,7e-06,0.006929,0.070141,1.07788,0.787443,0.003353,1.95327
0,1,2,64,15876,cube,142,1,13,0.001985,0.006553,6e-06,0.008463,0.068602,0.078534,2.79148,0.007294,2.9621
0,1,2,64,16324,cube,168,4,5,0.002123,0.007905,6e-06,0.005682,0.063469,1.04779,0.193146,0.001352,1.32038
0,1,2,64,15646,cube,59,3,9,0.001955,0.009134,6e-06,0.00659,0.065702,0.270072,0.916491,0.003117,1.27218
0,1,1,64,14277,cube,122,2,10,0.003546,0.009296,6e-06,0.013807,0.081344,0.066468,0.915238,0.002375,1.08958
0,1,1,64,14367,cube,160,1,6,0.003612,0.008401,6e-06,0.010157,0.086345,0.036382,0.203979,0.000899,0.347235
0,1,1,64,14593,cube,191,3,6,0.003439,0.010405,6e-06,0.01076,0.078642,0.262879,0.205153,0.000925,0.569802
0,1,1,64,14686,cube,213,3,7,0.003837,0.010828,7e-06,0.011955,0.083551,0.239362,0.296159,0.001168,0.644098
0,1,1,64,14673,cube,74,3,15,0.003674,0.010082,7e-06,0.017776,0.084416,0.281659,3.53557,0.006313,3.93688
