,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,64,1,53696,cube,107,4,15,0.000886,0.007922,9e-06,0.001489,0.13275,0.590895,2.63493,0.01312,3.38209
0,1,64,1,6080,cube,171,1,4,0.000451,0.005837,6e-06,0.000598,0.189629,0.152525,0.058055,0.001231,0.408916
0,1,64,1,26816,cube,237,4,9,0.000789,0.007881,6e-06,0.000456,0.018838,0.438488,0.299764,0.00207,0.76844
0,1,64,1,25216,cube,126,4,7,0.001844,0.006567,7e-06,0.000585,0.182703,0.280855,0.145936,0.001274,0.618977
0,1,64,1,6912,cube,185,2,10,0.000623,0.006014,5e-06,0.000329,0.338558,0.100484,0.304144,0.000582,0.751041
0,1,64,1,17664,cube,191,4,5,0.001072,0.007026,5e-06,0.000757,0.201649,0.284146,0.053439,0.000634,0.548693
0,1,64,1,15040,cube,69,4,11,0.000447,0.007502,7e-06,0.000335,0.243255,0.308305,0.550906,0.001949,1.11331
0,1,64,1,58432,cube,37,1,8,0.001344,0.009098,6e-06,0.009371,0.148264,0.366113,5.01988,0.035978,5.58975
0,1,64,1,13888,cube,108,1,7,0.001357,0.006347,7e-06,0.001568,0.201432,0.073488,0.484111,0.005816,0.773798
0,1,64,1,17088,cube,60,2,4,0.000712,0.007422,5e-06,0.000356,0.145298,0.103585,0.028169,0.000446,0.286313
0,1,64,1,8064,cube,220,2,6,0.000548,0.006591,7e-06,0.000532,0.230279,0.073803,0.158313,0.000329,0.470818
0,1,64,1,29376,cube,117,1,13,0.00061,0.006936,5e-06,0.003463,0.146583,0.286202,3.41307,0.034484,3.89172
0,1,64,1,11200,cube,211,1,15,0.002173,0.006187,5e-06,0.000748,0.196575,0.139923,1.45829,0.01504,1.81778
0,1,64,1,6464,cube,177,2,5,0.000425,0.007198,5e-06,0.000199,0.257067,0.072651,0.096818,0.000215,0.435058
0,1,64,1,60480,cube,159,3,4,0.001321,0.008288,7e-06,0.000831,0.199062,0.191336,0.07618,0.001471,0.478115
0,1,64,1,4672,cube,235,1,6,0.00092,0.006428,6e-06,0.000454,0.242267,0.09514,0.089818,0.001466,0.436526
0,1,64,1,62144,cube,57,3,14,0.001613,0.007667,7e-06,0.002991,0.192587,0.528672,4.4168,0.016864,5.16664
0,1,64,1,23424,cube,191,1,13,0.001086,0.007124,7e-06,0.00305,0.319549,0.214386,3.38371,0.029065,3.95796
0,1,64,1,8064,cube,230,3,7,0.001255,0.006392,5e-06,0.000466,0.364015,0.075382,0.165118,0.000319,0.612649
0,1,64,1,6656,cube,122,3,13,0.000584,0.006034,6e-06,0.000382,0.385121,0.093111,0.631097,0.000774,1.11752
0,1,64,1,7680,cube,164,1,6,0.000609,0.006993,6e-06,0.000611,0.362319,0.083451,0.125227,0.002335,0.581931
0,1,64,1,20864,cube,175,4,6,0.001262,0.006926,7e-06,0.000624,0.127164,0.174285,0.091089,0.000861,0.402017
0,1,64,1,14272,cube,104,1,15,0.000867,0.006115,9e-06,0.002905,0.157359,0.288802,5.60177,0.028195,6.08632
0,1,64,1,19520,cube,113,1,11,0.001386,0.006679,6e-06,0.002457,0.221247,0.134714,1.88855,0.018035,2.27288
0,1,64,1,46592,cube,236,2,10,0.000766,0.007546,7e-06,0.000702,0.09671,0.244382,0.370256,0.003813,0.724383
0,1,64,1,6784,cube,108,4,8,0.000512,0.007161,6e-06,0.000341,0.183405,0.141325,0.232881,0.00036,0.566376
