m,n,node,ppn,ob,ib,pc,avg,std
2570,7661,179,1,16,72,32,1,0.0294822,0.257371
2595,25623,80,1,16,64,48,1,0.0238333,0.321172
2612,4479,21,1,16,8,8,1,0.0172655,0.219832
2633,50113,268,1,16,64,8,2,0.33519,0.0337684
2636,38320,350,1,16,128,8,2,0.302422,0.0460684
2661,2619,1024,1,16,120,64,1,0.122933,0.0267856
2705,43822,120,1,16,72,8,1,0.0550814,0.164502
2709,25623,685,1,16,128,64,4,0.810436,0.0223898
2714,2290,1024,1,16,104,32,2,0.142415,0.0832341
2720,1171,27,1,16,24,16,1,0.00527711,1.24789
2732,13101,400,1,16,72,40,4,0.229615,0.0950554
2735,2995,36,1,16,16,8,1,0.0101683,0.526953
2742,1339,120,1,16,96,64,1,0.00833968,0.0813362
2755,14982,306,1,16,72,56,1,0.0701926,0.0873253
2763,50113,31,1,16,24,24,1,0.0380692,0.153938
2770,19593,16,1,16,16,16,1,0.0068272,0.841304
2788,25623,27,1,16,8,8,1,0.112628,0.0429204
2820,3425,1024,1,16,96,32,2,0.16262,0.0671497
2830,65536,61,1,16,16,8,1,0.166742,0.0390615
2870,4479,61,1,16,48,48,1,0.00812161,0.709777
2873,5122,61,1,16,32,8,1,0.0111201,0.592313
2881,29302,18,1,16,16,16,1,0.0256201,0.156886
2921,38320,70,1,16,64,64,1,0.0312626,0.136382
3001,8760,783,1,16,96,64,4,0.343138,0.063942
3032,1339,47,1,16,40,16,1,0.00598557,0.9951
3066,65536,458,1,16,64,56,1,0.380237,0.0248701
3088,3917,47,1,16,8,8,2,0.0556523,0.138913
3098,6699,458,1,16,64,40,1,0.0765901,0.0844731
3110,14982,36,1,16,16,16,2,0.0496635,0.164964
3122,57308,36,1,16,32,16,1,0.0353552,0.119046
3133,4479,599,1,16,128,48,1,0.0900818,0.0767599
3139,5122,61,1,16,48,16,1,0.00928104,0.691321
3150,19593,47,1,16,40,24,1,0.0165588,0.44354
3173,43822,179,1,16,64,24,1,0.0858091,0.0696186
3176,25623,137,1,16,64,56,2,0.091982,0.13914
3204,11456,36,1,16,16,8,1,0.0233015,0.238891
3208,2003,400,1,16,104,8,2,0.055164,0.230877
3209,2290,47,1,16,24,16,1,0.0076419,0.881887
3212,13101,31,1,16,16,8,1,0.0157038,0.364735
3217,13101,70,1,16,64,8,1,0.0144506,0.35915
3229,33509,350,1,16,120,24,1,0.13374,0.048321
3236,1751,895,1,16,96,56,4,0.123795,0.192907
3257,6699,137,1,16,64,32,1,0.0203992,0.207858
3258,2003,458,1,16,72,16,1,0.051022,0.0772654
3285,50113,47,1,16,24,8,1,0.0461403,0.118786
3286,13101,92,1,16,88,64,1,0.0190471,0.328696
3289,57308,120,1,16,88,24,1,0.0618065,0.0894868
3292,17133,137,1,16,104,48,1,0.0303883,0.196593
3302,8760,18,1,16,8,8,2,0.0468595,0.14578
3314,29302,41,1,16,40,8,1,0.0207452,0.335493
3316,65536,24,1,16,24,24,1,0.0186826,0.292622
3336,2619,205,1,16,80,8,1,0.0230563,0.271199
3364,1339,306,1,16,72,48,4,0.0377967,0.510599
3404,25623,80,1,16,80,64,1,0.019823,0.272642
3433,3425,54,1,16,40,8,1,0.00876027,0.770358
3453,1531,36,1,16,24,24,1,0.00513165,1.11092
3461,2290,137,1,16,120,56,1,0.0141327,0.27554
3499,1339,41,1,16,16,16,2,0.00959736,0.857883
3500,14982,41,1,16,24,16,1,0.0166154,0.35921
3520,1171,458,1,16,72,16,1,0.0419891,0.0873133
3550,25623,400,1,16,96,40,2,0.237821,0.0444984
3552,6699,105,1,16,80,48,1,0.0148455,0.46745
3557,2619,157,1,16,72,8,1,0.019334,0.314667
3560,25623,157,1,16,112,40,1,0.0435107,0.133234
3586,17133,599,1,16,104,8,4,0.459497,0.0443441
3593,14982,783,1,16,64,56,4,0.580489,0.0274215
3637,43822,92,1,16,88,24,1,0.0388304,0.137504
3649,2995,157,1,16,80,8,1,0.0184117,0.360735
3675,14982,21,1,16,8,8,1,0.0450092,0.0857506
3685,2003,47,1,16,32,16,1,0.0066089,0.873864
3686,2003,16,1,16,8,8,2,0.00860676,0.998627
3717,4479,137,1,16,88,8,1,0.01849,0.353308
3720,2290,895,1,16,120,56,1,0.102946,0.0447908
3734,5122,599,1,16,88,64,1,0.0911106,0.0728507
3758,2619,268,1,16,120,64,1,0.0293952,0.131106
3780,25623,18,1,16,8,8,2,0.127943,0.0462886
3792,22406,16,1,16,8,8,1,0.0366343,0.101785
3813,22406,21,1,16,8,8,1,0.0670919,0.0683405
3825,13101,61,1,16,56,32,1,0.0132725,0.373755
3847,5122,895,1,16,88,8,1,0.164171,0.0447013
