,nbytes,nnodes,ppn,avg,std
324,1783,4,8,2.65633e-05,0.787715
325,4096,4,8,3.17276e-05,0.646071
326,9410,4,8,4.15699e-05,0.412154
327,21619,4,8,7.55244e-05,0.465467
328,49667,4,8,0.000111843,0.301907
329,114105,4,8,0.000197164,0.231622
330,262144,4,8,0.000362446,0.198672
331,602249,4,8,0.000650054,0.0736453
332,1383604,4,8,0.0011737,0.0302649
333,3178688,4,8,0.00226503,0.020328
334,7302707,4,8,0.00472594,0.00838358
335,16777216,4,8,0.0105504,0.0105479
416,64,4,16,7.67375e-06,0.827313
417,147,4,16,3.30848e-05,0.72452
418,338,4,16,3.23673e-05,0.334372
419,776,4,16,2.76311e-05,0.387427
420,1783,4,16,3.65101e-05,0.648296
421,4096,4,16,4.03826e-05,0.673851
422,9410,4,16,5.27102e-05,0.504547
423,21619,4,16,7.00018e-05,0.321575
424,49667,4,16,0.000112386,0.292701
425,114105,4,16,0.000279086,0.220145
426,262144,4,16,0.000432126,0.124076
427,602249,4,16,0.00067116,0.0723495
428,1383604,4,16,0.00121731,0.0415414
429,3178688,4,16,0.00236237,0.0222763
430,7302707,4,16,0.00481382,0.00944292
431,16777216,4,16,0.0106673,0.0117452
512,64,4,32,1.43753e-05,0.669568
513,147,4,32,3.40331e-05,0.386134
514,338,4,32,3.29461e-05,0.282178
515,776,4,32,4.00139e-05,0.528557
516,1783,4,32,3.29487e-05,0.413336
517,4096,4,32,3.73374e-05,0.348057
518,9410,4,32,5.49877e-05,0.632682
519,21619,4,32,6.84621e-05,0.402153
520,49667,4,32,0.000116614,0.441897
521,114105,4,32,0.000275631,0.210344
522,262144,4,32,0.000382778,0.173739
523,602249,4,32,0.000694814,0.181042
524,1383604,4,32,0.00129151,0.0367854
525,3178688,4,32,0.0026085,0.050991
526,7302707,4,32,0.00522952,0.0133503
527,16777216,4,32,0.0115921,0.0128894
608,64,4,64,1.39383e-05,0.439203
609,147,4,64,3.40254e-05,0.408444
610,338,4,64,3.24308e-05,0.392865
611,776,4,64,3.96851e-05,0.656743
612,1783,4,64,3.14287e-05,0.392478
613,4096,4,64,3.64491e-05,0.310729
614,9410,4,64,4.8669e-05,0.362855
615,21619,4,64,8.12929e-05,0.388276
616,49667,4,64,9.2243e-05,0.201921
617,114105,4,64,0.000243963,0.17482
618,262144,4,64,0.000444256,0.0715123
619,602249,4,64,0.00141984,0.310964
620,1383604,4,64,0.00155269,0.137358
621,3178688,4,64,0.00318657,0.0195407
622,7302707,4,64,0.00718293,0.0944187
623,16777216,4,64,0.0153919,0.00982717
48,64,8,1,5.4857e-06,1.6071
49,147,8,1,3.59591e-05,0.627576
50,338,8,1,3.19529e-05,0.543124
51,776,8,1,2.74401e-05,0.504223
52,1783,8,1,3.7262e-05,0.658177
53,4096,8,1,3.02437e-05,0.622637
54,9410,8,1,4.50984e-05,0.465934
55,21619,8,1,9.07896e-05,0.401
56,49667,8,1,0.000170484,0.470184
57,114105,8,1,0.000221412,0.418578
58,262144,8,1,0.000518111,0.345641
59,602249,8,1,0.000947938,0.194282
60,1383604,8,1,0.00109815,0.190041
61,3178688,8,1,0.00144057,0.135843
62,7302707,8,1,0.00213304,0.127945
63,16777216,8,1,0.0038553,0.0989228
144,64,8,2,4.74445e-06,0.438067
145,147,8,2,4.11332e-05,0.366119
146,338,8,2,4.58819e-05,0.920958
147,776,8,2,3.22788e-05,0.339063
148,1783,8,2,3.82595e-05,0.583031
149,4096,8,2,3.47465e-05,0.36767
150,9410,8,2,6.13474e-05,0.680803
151,21619,8,2,0.000113373,0.29673
152,49667,8,2,0.000196203,0.274692
153,114105,8,2,0.000304046,0.236848
154,262144,8,2,0.00066788,0.398113
155,602249,8,2,0.000974583,0.201256
156,1383604,8,2,0.00125677,0.0815205
157,3178688,8,2,0.00164774,0.0939422
158,7302707,8,2,0.00296447,0.0850852
159,16777216,8,2,0.00542388,0.104832
240,64,8,4,7.76255e-06,0.576724
241,147,8,4,3.30887e-05,0.223701
242,338,8,4,3.68111e-05,0.29017
243,776,8,4,3.58056e-05,0.493111
244,1783,8,4,3.58655e-05,0.551429
245,4096,8,4,4.15855e-05,0.468757
246,9410,8,4,6.30255e-05,0.457722
247,21619,8,4,0.000104301,0.249467
248,49667,8,4,0.00017425,0.310756
249,114105,8,4,0.000313641,0.234563
250,262144,8,4,0.000713303,0.382015
251,602249,8,4,0.00100681,0.257485
252,1383604,8,4,0.0016024,0.135093
253,3178688,8,4,0.00231936,0.092375
254,7302707,8,4,0.00409861,0.0570863
255,16777216,8,4,0.00898271,0.0190095
336,64,8,8,9.21945e-06,0.663729
337,147,8,8,4.48197e-05,0.366826
338,338,8,8,4.50513e-05,0.597588
339,776,8,8,3.65588e-05,0.555343
340,1783,8,8,3.94348e-05,0.430506
341,4096,8,8,4.49852e-05,0.397992
342,9410,8,8,6.36583e-05,0.413302
343,21619,8,8,0.00011554,0.257804
344,49667,8,8,0.000196725,0.356772
345,114105,8,8,0.000293845,0.311442
346,262144,8,8,0.000615966,0.406153
347,602249,8,8,0.00110825,0.107922
348,1383604,8,8,0.00210791,0.139645
349,3178688,8,8,0.00276155,0.0518591
350,7302707,8,8,0.00519398,0.0311979
351,16777216,8,8,0.0110597,0.0228664
432,64,8,16,1.30182e-05,1.02346
433,147,8,16,4.30841e-05,0.48781
434,338,8,16,4.54426e-05,0.650461
435,776,8,16,3.75583e-05,0.480986
436,1783,8,16,3.63016e-05,0.315145
437,4096,8,16,4.63848e-05,0.706723
438,9410,8,16,6.68165e-05,0.402718
439,21619,8,16,0.000130318,0.306776
440,49667,8,16,0.000221959,0.299323
441,114105,8,16,0.000292666,0.24051
442,262144,8,16,0.000610905,0.266294
443,602249,8,16,0.00112719,0.108525
444,1383604,8,16,0.00163724,0.0544041
445,3178688,8,16,0.0027316,0.0381121
446,7302707,8,16,0.00536576,0.0386443
447,16777216,8,16,0.0112437,0.0196948
528,64,8,32,1.15076e-05,0.393395
529,147,8,32,3.92273e-05,0.257715
530,338,8,32,4.16481e-05,0.296096
531,776,8,32,4.74458e-05,0.489011
532,1783,8,32,5.11777e-05,0.526741
533,4096,8,32,4.8621e-05,0.345884
534,9410,8,32,7.06763e-05,0.390246
535,21619,8,32,0.000137579,0.293222
536,49667,8,32,0.000204543,0.36518
537,114105,8,32,0.000326848,0.157147
538,262144,8,32,0.000624773,0.315565
539,602249,8,32,0.00109779,0.166527
540,1383604,8,32,0.00175922,0.0884147
541,3178688,8,32,0.00291431,0.0591213
542,7302707,8,32,0.00563951,0.0321713
543,16777216,8,32,0.0120519,0.0176584
624,64,8,64,1.5289e-05,0.526034
625,147,8,64,4.57153e-05,0.394005
626,338,8,64,5.18485e-05,0.611007
627,776,8,64,4.56193e-05,0.386098
628,1783,8,64,5.4616e-05,0.337292
629,4096,8,64,4.53951e-05,0.254695
630,9410,8,64,9.9728e-05,0.476888
631,21619,8,64,0.000168673,0.501589
632,49667,8,64,0.000216532,0.393469
633,114105,8,64,0.000362872,0.487187
634,262144,8,64,0.000706344,0.266444
635,602249,8,64,0.00191416,0.193313
636,1383604,8,64,0.00212783,0.292455
637,3178688,8,64,0.00371236,0.136042
638,7302707,8,64,0.00731463,0.0450066
639,16777216,8,64,0.0160597,0.00607059
64,64,16,1,4.6003e-06,0.452567
65,147,16,1,5.06925e-05,0.603811
66,338,16,1,4.58988e-05,0.370785
67,776,16,1,3.42314e-05,0.386349
68,1783,16,1,4.02668e-05,0.409321
69,4096,16,1,4.11337e-05,0.408666
70,9410,16,1,6.24526e-05,0.387143
71,21619,16,1,0.000145648,0.368921
72,49667,16,1,0.000245708,0.383202
73,114105,16,1,0.00032958,0.338591
74,262144,16,1,0.000626741,0.355019
75,602249,16,1,0.000960859,0.273974
76,1383604,16,1,0.00145955,0.176554
77,3178688,16,1,0.00170969,0.135366
78,7302707,16,1,0.00250033,0.0925386
79,16777216,16,1,0.00436469,0.0465852
160,64,16,2,7.39245e-06,0.55703
161,147,16,2,5.30912e-05,0.361127
162,338,16,2,5.72657e-05,0.321374
163,776,16,2,4.4119e-05,0.463665
164,1783,16,2,3.79387e-05,0.3308
165,4096,16,2,4.35221e-05,0.347701
166,9410,16,2,7.03161e-05,0.395513
167,21619,16,2,0.000161789,0.302252
168,49667,16,2,0.000239145,0.309453
169,114105,16,2,0.000397604,0.259562
170,262144,16,2,0.0007767,0.227329
171,602249,16,2,0.00115061,0.24958
172,1383604,16,2,0.00160514,0.196081
173,3178688,16,2,0.00208844,0.0852691
174,7302707,16,2,0.00317275,0.0916228
175,16777216,16,2,0.00589652,0.0510819
256,64,16,4,9.24795e-06,0.359436
257,147,16,4,5.37808e-05,0.349736
258,338,16,4,4.8014e-05,0.2477
259,776,16,4,4.18309e-05,0.402265
260,1783,16,4,4.87558e-05,0.479149
261,4096,16,4,4.89895e-05,0.471094
262,9410,16,4,7.70782e-05,0.370255
263,21619,16,4,0.000172801,0.224055
264,49667,16,4,0.000266777,0.284885
265,114105,16,4,0.000371246,0.29455
266,262144,16,4,0.000896501,0.196128
267,602249,16,4,0.00121012,0.346705
268,1383604,16,4,0.00168813,0.248722
269,3178688,16,4,0.00265692,0.0919301
270,7302707,16,4,0.00420339,0.138619
271,16777216,16,4,0.00855741,0.12589
352,64,16,8,1.0363e-05,0.655819
353,147,16,8,5.62096e-05,0.464103
354,338,16,8,5.55711e-05,0.31954
355,776,16,8,4.55907e-05,0.479842
356,1783,16,8,6.24141e-05,0.42943
357,4096,16,8,5.70968e-05,0.690504
358,9410,16,8,8.00246e-05,0.373015
359,21619,16,8,0.000167382,0.315754
360,49667,16,8,0.000258049,0.199112
361,114105,16,8,0.000388863,0.225428
362,262144,16,8,0.000722364,0.366007
363,602249,16,8,0.00123586,0.272755
364,1383604,16,8,0.00181354,0.165458
365,3178688,16,8,0.00343143,0.0507074
366,7302707,16,8,0.00679981,0.139077
367,16777216,16,8,0.015115,0.0583837
448,64,16,16,1.17817e-05,0.269145
449,147,16,16,6.63293e-05,0.563763
450,338,16,16,6.14786e-05,0.220926
451,776,16,16,4.90869e-05,0.307473
452,1783,16,16,5.75664e-05,0.564862
453,4096,16,16,5.66884e-05,0.27136
454,9410,16,16,8.2402e-05,0.284938
455,21619,16,16,0.000212841,0.571843
456,49667,16,16,0.000259522,0.270602
457,114105,16,16,0.000383641,0.340736
458,262144,16,16,0.000716403,0.260198
459,602249,16,16,0.00134327,0.250475
460,1383604,16,16,0.00207701,0.124615
461,3178688,16,16,0.00313682,0.0582956
462,7302707,16,16,0.00563818,0.0311896
463,16777216,16,16,0.0114408,0.0206121
544,64,16,32,1.57307e-05,0.662139
545,147,16,32,6.3979e-05,0.37813
546,338,16,32,6.34375e-05,0.3096
547,776,16,32,5.45043e-05,0.428053
548,1783,16,32,5.04288e-05,0.268565
549,4096,16,32,6.6101e-05,0.339849
550,9410,16,32,8.50073e-05,0.260911
551,21619,16,32,0.000173842,0.200406
552,49667,16,32,0.000276757,0.229841
553,114105,16,32,0.000397247,0.217284
554,262144,16,32,0.000754859,0.308185
555,602249,16,32,0.00132299,0.187635
556,1383604,16,32,0.00207486,0.0891825
557,3178688,16,32,0.00335423,0.0399408
558,7302707,16,32,0.00617173,0.0202475
559,16777216,16,32,0.0130652,0.011734
640,64,16,64,1.70921e-05,0.904319
641,147,16,64,8.0541e-05,0.320695
642,338,16,64,6.22375e-05,0.416106
643,776,16,64,5.58052e-05,0.345902
644,1783,16,64,4.96519e-05,0.453472
