nbytes,nnodes,ppn,avg,std
246,10801332,1,1,4.711e-07,0.950396
182,471552,1,1,4.385e-07,0.976254
247,11342962,1,1,4.415e-07,0.949361
183,495198,1,1,4.3605e-07,0.956596
248,11911753,1,1,4.6105e-07,1.08294
184,520030,1,1,4.4305e-07,0.960866
249,12509065,1,1,4.591e-07,1.11228
185,546107,1,1,4.3295e-07,0.916544
250,13136329,1,1,4.385e-07,0.966141
186,573491,1,1,4.9005e-07,1.12816
251,13795047,1,1,4.365e-07,0.965643
187,602249,1,1,4.4705e-07,1.03806
252,14486797,1,1,4.761e-07,1.01183
188,632448,1,1,4.43e-07,1.007
253,15213234,1,1,4.3805e-07,0.942686
189,664162,1,1,4.4e-07,0.962428
254,15976098,1,1,5.6625e-07,1.08942
190,697467,1,1,4.451e-07,1.02777
255,16777216,1,1,4.215e-07,0.834863
191,732441,1,1,4.636e-07,0.947626
192,769169,1,1,4.515e-07,0.837712
193,807739,1,1,4.3245e-07,0.928309
194,848243,1,1,4.3755e-07,0.95801
195,890778,1,1,4.466e-07,1.00791
196,935446,1,1,4.48e-07,0.862385
197,982353,1,1,4.6105e-07,0.872568
198,1031613,1,1,4.346e-07,0.949896
199,1083343,1,1,4.2645e-07,0.878013
200,1137667,1,1,4.2745e-07,0.870139
201,1194715,1,1,4.2345e-07,0.852926
202,1254624,1,1,4.344e-07,0.934056
203,1317537,1,1,4.4055e-07,0.971393
204,1383604,1,1,4.2695e-07,0.86623
205,1452985,1,1,4.9365e-07,1.36179
206,1525844,1,1,4.3905e-07,0.964754
207,1602358,1,1,4.365e-07,0.955466
208,1682707,1,1,4.7665e-07,1.01885
209,1767086,1,1,4.6355e-07,0.931622
210,1855697,1,1,4.079e-07,0.919917
211,1948750,1,1,4.4905e-07,0.998762
212,2046470,1,1,4.3805e-07,0.956768
213,2149089,1,1,5.2475e-07,1.26417
214,2256855,1,1,4.3955e-07,0.968762
215,2370025,1,1,4.43e-07,1.00154
216,2488869,1,1,4.3855e-07,0.95547
217,2613673,1,1,4.4705e-07,1.04252
218,2744735,1,1,4.465e-07,1.02361
219,2882369,1,1,4.4145e-07,0.905753
220,3026905,1,1,4.446e-07,0.888005
221,3178688,1,1,4.351e-07,0.969573
222,3338083,1,1,4.215e-07,0.851726
223,3505470,1,1,4.235e-07,0.868377
