m,n,k,avg,std
20657,41,123,729,0.00041844,0.0732797
20753,77,76,488,0.000234334,0.125751
20817,214,552,46,0.000549361,0.0686438
20865,177,38,83,0.000274307,0.0738607
20881,154,1629,205,0.00365718,0.029342
20897,236,39,2258,0.00238064,0.0233656
20913,73,117,103,0.000304276,0.057222
20977,332,200,74,0.000420019,0.0992836
21009,167,1694,136,0.00300173,0.0211525
21025,39,3253,115,0.00536077,0.00674715
21041,590,65,67,0.000197655,0.0928467
21057,64,924,59,0.00110886,0.0129952
21073,85,2154,40,0.00263209,0.0278622
21153,75,78,86,0.00013932,0.0949831
21233,106,45,3947,0.00210573,0.0354453
21281,69,156,1410,0.0013648,0.0519941
21297,54,98,3597,0.00187573,0.0147311
21361,1278,119,103,0.00159555,0.0216342
21457,2216,49,45,0.000460431,0.0740675
21505,1010,68,58,0.000332011,0.115533
21585,36,179,348,0.000827045,0.0381681
21601,132,46,32,8.40144e-05,0.0631756
21633,1150,68,167,0.00118496,0.051056
21649,81,60,818,0.000413757,0.0948885
21665,230,55,60,0.00027189,0.1023
21681,787,119,49,0.000592819,0.0607892
21745,193,76,1092,0.00142324,0.0218162
21777,119,42,146,7.14478e-05,0.139787
21793,818,108,237,0.00180914,0.0186014
21905,154,3567,54,0.00258381,0.0150399
21953,200,253,1333,0.00486767,0.00709759
22001,149,609,36,0.000376728,0.0891964
22017,66,199,1646,0.00211728,0.0342709
22065,43,32,363,0.000304029,0.0528912
22145,289,63,48,0.000293467,0.0980716
22161,197,81,38,0.000146674,0.0695877
22241,623,188,40,0.000486032,0.0823091
22257,187,2263,39,0.00170602,0.0246844
22449,42,264,162,0.000628837,0.0607374
22545,159,111,101,0.000183579,0.147906
22593,53,54,2662,0.000844576,0.0489388
22625,146,266,47,0.000166437,0.133358
22641,93,62,708,0.000392712,0.118013
22673,117,56,803,0.000527371,0.0670971
22753,148,68,97,0.000295482,0.058115
22769,57,67,1327,0.000564614,0.064959
22801,1181,48,121,0.000598013,0.0695215
22849,148,40,1587,0.00109607,0.038238
22881,66,164,1888,0.00193737,0.0232532
22929,47,101,723,0.000323407,0.111341
22945,55,175,1286,0.00116554,0.0264525
22977,78,94,728,0.000480701,0.062995
22993,381,252,88,0.000698304,0.0731397
23073,55,164,503,0.000420237,0.0837064
23105,140,33,2323,0.00137878,0.0218431
23121,1769,133,93,0.00203014,0.0131914
23217,47,153,337,0.000713714,0.0610581
23249,46,785,121,0.00156511,0.0426924
23329,1633,72,193,0.00197397,0.00982257
23361,97,2695,47,0.00136117,0.0356932
23425,45,39,964,0.000195886,0.12285
23457,586,134,233,0.00170899,0.0234986
23505,67,35,171,0.00021936,0.072036
23537,73,1441,254,0.00274844,0.0129595
23553,131,1426,67,0.00115928,0.0267575
23569,178,41,197,0.000123453,0.105681
23585,148,3272,35,0.00186542,0.0197308
23697,613,160,63,0.000632538,0.0638407
23745,229,586,207,0.0020437,0.0215473
23777,63,227,543,0.000752827,0.0485409
23793,38,82,42,4.18075e-05,0.359619
23809,100,37,797,0.000339003,0.123023
23857,4062,34,91,0.00119295,0.0253202
23873,44,151,474,0.000304131,0.117507
23889,270,117,42,0.000137807,0.145551
23905,49,442,48,0.000372815,0.0439909
23969,535,90,57,0.000212193,0.15338
23985,139,1261,37,0.000791813,0.046605
24001,3596,50,190,0.00289821,0.0243224
24017,242,198,2019,0.0073536,0.0207704
24033,171,45,1593,0.00129669,0.0304975
24065,1466,111,87,0.00135971,0.0403335
24081,3669,246,71,0.00503484,0.0303748
24129,114,1422,47,0.000824696,0.0552894
24241,163,797,55,0.000719908,0.056882
24289,85,46,1567,0.000719644,0.0610724
24321,763,70,44,0.000194926,0.134168
24369,47,53,707,0.000160354,0.131906
24449,212,169,580,0.0016648,0.0274875
24513,47,49,66,6.08761e-05,0.158423
24529,2462,138,94,0.00280854,0.0208687
24545,84,35,662,0.000206416,0.125241
24561,43,162,73,0.000203252,0.0845837
24593,3459,223,149,0.00823062,0.0199707
24609,56,841,72,0.00110755,0.0255384
24657,3405,121,54,0.00253047,0.0209474
24689,290,118,254,0.000831913,0.0403381
24721,55,47,634,0.000143076,0.117514
24737,122,85,3428,0.00306347,0.0224972
24769,141,122,381,0.000708003,0.0594591
24817,170,72,69,0.000236321,0.0742726
24881,791,64,34,0.000143507,0.114648
24929,126,489,158,0.000846084,0.0380592
24945,1015,225,95,0.00177303,0.0179768
24961,47,167,38,9.88639e-05,0.121323
24977,246,65,764,0.00106854,0.0510171
25057,362,189,95,0.000590524,0.0706905
25137,152,2106,49,0.00140981,0.0243692
25265,131,96,1178,0.00149183,0.0278748
25281,86,48,61,9.65932e-05,0.116027
25297,3445,242,94,0.0061443,0.0246048
25361,3683,177,103,0.00518483,0.0252569
25377,50,2638,56,0.00268737,0.0299153
25409,33,2056,96,0.00285366,0.0165336
25425,269,161,245,0.000940512,0.0269805
25441,35,76,3415,0.000977219,0.0232764
25457,39,3218,232,0.0106938,0.0098769
25489,63,63,77,0.000104292,0.19491
25553,159,744,83,0.000885963,0.00669883
25569,121,198,2944,0.005795,0.00673978
25585,716,37,92,0.000218596,0.121956
25633,32,239,3842,0.00272543,0.0230301
25697,150,3700,235,0.00905416,0.00946775
25729,126,60,100,0.000243985,0.0656758
25761,83,39,46,7.11885e-05,0.151142
25809,3281,243,49,0.00385672,0.0058287
25825,42,66,2042,0.000636102,0.067149
25857,59,214,65,0.000259124,0.0927645
25873,48,3078,72,0.00364719,0.0113282
25889,756,47,80,0.000244118,0.112639
25921,542,54,190,0.000496748,0.0784634
25937,246,2270,81,0.00329452,0.00884928
25969,84,1918,61,0.00326452,0.00510512
26017,187,335,168,0.000875715,0.0267476
26033,888,34,71,0.000186946,0.131189
26049,79,52,49,7.73453e-05,0.139411
26065,78,2645,90,0.00629151,0.0152125
26081,164,1018,251,0.00286578,0.00978189
26097,39,1074,36,0.000477406,0.065344
26113,213,69,32,0.000145581,0.0815505
26129,144,195,267,0.000660365,0.0738483
