m,n,k,avg,std
4752,466,1249,2046,0.0778469,0.00932051
4768,674,528,136,0.00317876,0.00720635
4784,2602,2171,2119,0.670395,0.00431906
4800,2949,2292,3410,1.29639,0.00112686
4816,3574,2997,3989,2.34531,0.00159884
4832,3780,759,436,0.0740115,0.00969605
4848,1476,537,3532,0.168595,0.00407424
4864,1375,1824,2273,0.325945,0.00361742
4880,3992,245,1711,0.11649,0.0161114
4896,1872,1235,1879,0.248689,0.00670899
4912,2606,210,4066,0.16021,0.0242578
4928,3745,1671,3054,1.10546,0.00984458
4944,3305,2867,2907,1.52206,0.00152021
4960,2731,2604,2643,1.3011,0.00991409
4976,4062,3494,3927,3.12046,0.00194727
4992,1969,1216,132,0.0190616,0.00908871
5008,428,518,1572,0.0224078,0.00924316
5024,395,2713,3679,0.243268,0.00312588
5040,3650,3438,2906,2.0092,0.00666329
5056,2204,2731,3463,1.1612,0.00231959
5072,517,604,3097,0.0630517,0.0098633
5088,1000,3035,179,0.0314303,0.00830763
5104,1128,3749,3569,0.838249,0.00148802
5120,3924,3179,1437,0.997617,0.00175658
5136,3221,3546,1217,0.763806,0.00279135
5152,3166,3917,4019,2.74822,0.00982476
5168,2541,1721,1335,0.326187,0.00400456
5184,3505,1753,1744,0.602914,0.00396599
5200,2358,2637,895,0.311082,0.00263712
5216,200,2999,3143,0.117407,0.00633155
5232,2825,915,1309,0.197627,0.0060422
5248,2034,2359,1589,0.431828,0.00266475
5264,2187,3967,713,0.368686,0.00323548
5280,382,764,3409,0.0635817,0.00983077
5296,2435,486,2849,0.2023,0.00511785
5312,2348,114,1400,0.0314197,0.0114935
5328,299,3492,396,0.0271778,0.0130854
5344,2383,923,911,0.11861,0.0157248
5360,3834,3197,3918,2.62822,0.000705231
5376,265,1464,1108,0.0276863,0.0161362
5392,3911,2919,1511,0.959463,0.000829546
5408,1793,2293,3526,0.845011,0.0174022
5424,62,2759,3010,0.0485383,0.0174615
5440,693,3380,2465,0.340476,0.0072033
5456,133,3762,1940,0.0692191,0.00523566
5472,2759,1305,3528,0.722115,0.00464881
5488,3940,1051,270,0.0644674,0.0137394
5504,1160,1881,557,0.0766603,0.00588137
5520,3190,3866,1156,0.790775,0.00312201
5536,2149,4046,3228,1.57221,0.00524174
5552,3765,1113,1524,0.365308,0.00650776
5568,830,3493,1628,0.275524,0.00777875
5584,3556,2675,3821,2.0084,0.00154055
5600,3661,578,151,0.0199632,0.0171464
5616,1397,188,238,0.00486348,0.0336929
5632,2179,1798,1609,0.35746,0.00989599
5648,820,149,1076,0.0105308,0.0267798
5664,2658,1956,2736,0.80434,0.00234568
5680,2212,2510,554,0.172427,0.00929453
5696,280,4069,1528,0.103683,0.00563579
5712,89,848,1856,0.0128795,0.0276462
5728,2423,3643,3255,1.59507,0.00219834
5744,3931,311,172,0.0138191,0.0237667
5760,431,3900,3858,0.400304,0.00415146
5776,2178,181,2237,0.0638734,0.00963829
5792,2644,2571,532,0.202975,0.00844908
5808,1834,1912,2701,0.543017,0.00472554
5824,2439,1198,2506,0.418232,0.00504727
5840,3894,1602,2590,0.916836,0.0164077
5856,1686,3858,3672,1.32975,0.00111737
5872,2831,1606,116,0.0317575,0.00611792
5888,704,742,3460,0.10886,0.0100521
5904,292,4068,1584,0.115013,0.013124
5920,1250,293,1866,0.0455233,0.00386142
5936,2726,1235,927,0.181189,0.00943299
5952,859,3609,1105,0.200191,0.0073625
5968,3764,1573,1352,0.472999,0.00743036
5984,1623,1095,179,0.0193572,0.0239219
6000,511,2339,3941,0.31536,0.00519313
6016,2396,882,1576,0.192525,0.00992468
6032,1604,2617,1690,0.411383,0.00229541
6048,2558,1555,1537,0.363582,0.00656057
6064,1209,748,446,0.0243408,0.0120135
6080,2673,2869,1272,0.537678,0.00155384
6096,3886,687,3069,0.499213,0.00315259
6112,2005,586,2193,0.156187,0.00779143
6128,721,2459,2557,0.266156,0.00362651
6144,1459,2250,2862,0.534472,0.001202
6160,2666,2662,3634,1.42213,0.00204738
6176,2345,1494,1215,0.240517,0.00525205
6192,4060,591,3134,0.448499,0.00459074
6208,3812,3046,3375,2.19012,0.00122005
6224,719,4013,1977,0.333841,0.00561249
