nx,ny,nz,nmom,nang,ng,ichunk,node,ppn,thread,solve
0,8,32,32,4,1023,17,8,1,64,2,14.708000
0,8,32,32,2,256,26,4,1,64,2,3.707700
0,8,32,32,4,256,57,8,1,64,2,12.554000
0,8,32,32,2,511,8,4,1,64,2,2.139400
0,8,32,32,4,511,57,1,1,64,2,27.799000
0,8,32,32,1,32,26,1,1,64,2,1.521000
0,8,32,32,1,127,86,1,1,64,2,13.132000
0,8,32,32,2,32,57,1,1,64,2,3.951300
0,8,32,32,4,1023,8,2,1,64,2,6.427500
0,8,32,32,2,63,57,2,1,64,2,4.495600
0,8,32,32,3,256,128,2,1,64,2,31.917000
0,8,32,32,1,127,86,1,1,64,2,13.132000
0,8,32,32,3,63,128,1,1,64,2,16.721000
0,8,32,32,2,256,57,4,1,64,2,8.602900
0,8,32,32,2,256,86,4,1,64,2,14.753000
0,8,32,32,2,32,8,1,1,64,2,0.469690
0,8,32,32,4,511,17,2,1,64,2,6.997800
0,8,32,32,4,4096,8,1,1,64,2,35.160000
0,8,32,32,3,32,128,2,1,64,2,9.630900
0,8,32,32,2,32,86,4,1,64,2,3.927800
0,8,32,32,4,127,8,8,1,64,2,1.139600
0,8,32,32,1,256,26,8,1,64,2,3.025000
0,8,32,32,2,2047,11,1,1,64,2,12.762000
0,8,32,32,4,1023,8,1,1,64,2,6.448300
0,8,32,32,2,511,26,2,1,64,2,6.736200
0,8,32,32,2,32,11,1,1,64,2,0.731580
0,8,32,32,3,1023,8,1,1,64,2,4.992600
0,8,32,32,4,63,8,8,1,64,2,0.700220
0,8,32,32,3,127,11,1,1,64,2,1.692600
0,8,32,32,1,1023,17,1,1,64,2,8.012200
0,8,32,32,3,256,39,4,1,64,2,6.667700
0,8,32,32,4,1023,8,2,1,64,2,6.427500
0,8,32,32,1,127,39,1,1,64,2,4.821700
0,8,32,32,1,256,39,1,1,64,2,7.401400
0,8,32,32,1,2047,8,8,1,64,2,7.673600
0,8,32,32,2,127,8,4,1,64,2,0.731060
0,8,32,32,4,63,57,8,1,64,2,4.346100
0,8,32,32,1,32,86,4,1,64,2,3.212700
0,8,32,32,3,256,128,1,1,64,2,37.736000
0,8,32,32,3,1023,17,2,1,64,2,10.842000
0,8,32,32,2,511,57,1,1,64,2,19.110000
0,8,32,32,1,63,17,8,1,64,2,0.742390
0,8,32,32,3,1023,11,8,1,64,2,7.922500
0,8,32,32,1,256,17,4,1,64,2,2.189500
0,8,32,32,4,63,39,2,1,64,2,3.683100
0,8,32,32,3,63,86,4,1,64,2,6.838100
0,8,32,32,4,32,86,4,1,64,2,5.673800
0,8,32,32,1,256,8,1,1,64,2,1.344300
0,8,32,32,2,256,128,1,1,64,2,33.034000
0,8,32,32,2,1023,26,8,1,64,2,12.900000
0,8,32,32,4,1023,17,8,1,64,2,14.708000
0,8,32,32,2,511,57,4,1,64,2,16.147000
0,8,32,32,3,63,86,1,1,64,2,10.643000
0,8,32,32,4,32,8,1,1,64,2,0.537180
0,8,32,32,4,127,57,1,1,64,2,10.739000
0,8,32,32,2,127,26,8,1,64,2,2.092400
0,8,32,32,4,256,86,8,1,64,2,21.224000
0,8,32,32,1,511,57,2,1,64,2,14.602000
0,8,32,32,3,256,128,2,1,64,2,31.917000
0,8,32,32,1,32,17,2,1,64,2,0.778060
0,8,32,32,3,2047,11,1,1,64,2,16.725000
0,8,32,32,4,511,8,2,1,64,2,3.200600
0,8,32,32,4,63,8,2,1,64,2,0.772110
0,8,32,32,3,32,86,2,1,64,2,5.608000
0,8,32,32,2,256,17,8,1,64,2,2.464500
0,8,32,32,2,32,39,8,1,64,2,1.261500
0,8,32,32,2,256,26,8,1,64,2,3.499100
0,8,32,32,4,511,26,4,1,64,2,9.847800
0,8,32,32,2,127,17,4,1,64,2,1.481900
0,8,32,32,2,2047,8,2,1,64,2,8.282200
0,8,32,32,1,256,26,4,1,64,2,3.165600
0,8,32,32,1,1023,11,4,1,64,2,4.849400
0,8,32,32,2,32,128,2,1,64,2,7.619800
0,8,32,32,1,127,17,8,1,64,2,1.170300
0,8,32,32,3,2047,8,4,1,64,2,11.095000
0,8,32,32,3,1023,26,2,1,64,2,16.063000
