m,n,avg,std
6048,4409,65,0.00646629,0.017976
6064,4466,262,0.0608816,0.0284647
6080,13587,125,0.0712904,0.00247069
6096,5119,162,0.0351239,0.00676896
6112,343,100,0.00102125,0.0300191
6128,1004,252,0.0143633,0.00617246
6144,2712,511,0.107256,0.00781855
6160,4935,347,0.105628,0.00999724
6176,288,152,0.00167835,0.0402941
6192,502,462,0.0177481,0.0142506
6208,1659,320,0.0319773,0.00728649
6224,1690,943,0.162358,0.00499435
6240,1824,771,0.134999,0.00286354
6256,294,251,0.00394853,0.0201963
6272,7766,143,0.0418685,0.00992948
6288,260,64,0.000473007,0.0529192
6304,1002,719,0.0645918,0.00921349
6320,445,263,0.00738986,0.0199776
6336,894,259,0.0138649,0.0142381
6352,738,281,0.0128647,0.00812732
6368,2728,288,0.0451832,0.00342001
6384,1741,824,0.137542,0.00601411
6400,1040,79,0.00210716,0.029306
6416,2017,227,0.0229825,0.0096344
6432,5527,127,0.0256379,0.00401369
6448,426,303,0.00864936,0.0224482
6464,1670,853,0.141867,0.00983338
6480,1214,125,0.00587037,0.0208564
6496,608,83,0.00134257,0.0493095
6512,2400,237,0.0288468,0.00537017
6528,279,99,0.000895387,0.0395728
6544,6014,95,0.0176503,0.00816993
6560,880,372,0.0223583,0.00945637
6576,3080,160,0.0185822,0.0125901
6592,979,664,0.0552115,0.00477603
6608,9890,129,0.0457376,0.00350564
6624,219,111,0.000962615,0.0282757
6640,428,156,0.00271861,0.021719
6656,2091,658,0.120848,0.00497995
6672,7104,158,0.0441874,0.00735059
6688,1292,252,0.0183025,0.00981838
6704,538,396,0.0155495,0.00705505
6720,1595,91,0.00446982,0.024155
6736,1151,323,0.0248934,0.0110794
6752,3467,140,0.0170164,0.0114355
6768,1991,392,0.0517369,0.00824403
6784,1856,261,0.0265638,0.0109799
6800,13723,65,0.0259755,0.00996057
6816,4674,243,0.0555028,0.00352646
6832,1588,688,0.0931102,0.00407062
6848,224,95,0.000828301,0.0387246
6864,1112,192,0.00956339,0.013447
6880,1804,86,0.00439728,0.00996683
6896,2233,243,0.028529,0.00300797
6912,386,348,0.00908618,0.0069987
6928,1523,829,0.124903,0.00470258
6944,5173,242,0.0611785,0.00837729
6960,1404,79,0.00287874,0.0211304
6976,827,68,0.00119463,0.0393701
6992,5484,84,0.0117865,0.00895258
7008,92,66,0.000277445,0.0475351
7024,5104,347,0.108246,0.00793713
7040,15705,117,0.0721384,0.00761409
7056,3254,164,0.0199172,0.00283162
7072,13993,72,0.0271527,0.00975766
7088,859,388,0.0237253,0.00999349
7104,2369,124,0.0106948,0.0191906
7120,3279,436,0.0990925,0.00450674
7136,154,87,0.000615767,0.0411787
7152,24791,73,0.0507849,0.00394385
7168,226,172,0.00166147,0.0419303
7184,25456,82,0.0662675,0.00419431
7200,450,253,0.00670501,0.0151922
7216,423,65,0.000639342,0.0809135
7232,6701,81,0.0130099,0.0150819
7248,5320,103,0.0148651,0.0159226
7264,505,123,0.00235277,0.0218411
7280,3208,126,0.0146991,0.0173778
7296,10317,82,0.0263725,0.00577894
7312,5313,179,0.0385854,0.00567059
7328,184,67,0.000462586,0.0510928
7344,19771,100,0.0640717,0.00305554
7360,26819,76,0.0580946,0.00288428
7376,4628,107,0.0148981,0.00996281
7392,641,85,0.00146103,0.0321682
7408,208,151,0.00136555,0.0238747
7424,3149,244,0.0388488,0.00762085
7440,174,66,0.000439636,0.0547212
7456,4165,367,0.0982386,0.00740211
7472,129,71,0.000410941,0.0712705
7488,8063,67,0.0128842,0.00522893
7504,629,67,0.000908751,0.0318957
7520,8361,72,0.0139868,0.00831766
7536,5343,276,0.079667,0.00760873
7552,342,262,0.00522024,0.0153128
7568,1502,206,0.0152058,0.00782202
7584,1735,80,0.00337853,0.0213631
7600,214,84,0.000608918,0.0330515
7616,549,406,0.01652,0.0140283
7632,641,366,0.0170057,0.00981202
7648,6501,174,0.0450207,0.00836708
7664,544,476,0.0195633,0.0103034
7680,690,311,0.0145768,0.00561459
7696,1281,228,0.0156934,0.00577143
7712,425,73,0.000734089,0.0292037
7728,3525,77,0.00639236,0.0157835
7744,8682,88,0.022074,0.00300972
7760,795,245,0.0115532,0.0208374
7776,6348,125,0.027862,0.0118941
7792,29834,66,0.0537887,0.00319513
7808,2596,306,0.0456306,0.00773086
7824,68,65,0.000230721,0.0675825
7840,1174,557,0.0532638,0.00666192
7856,14575,99,0.0482645,0.00512197
7872,451,132,0.00206517,0.0393113
7888,2716,468,0.0894723,0.006913
7904,190,189,0.00178875,0.0215729
7920,8635,237,0.106021,0.00564073
7936,134,70,0.000401717,0.0638197
7952,7418,229,0.0812725,0.00213564
7968,116,110,0.000725531,0.0352658
7984,4372,66,0.00617172,0.00444158
8000,9432,105,0.0318348,0.00463179
8016,4573,140,0.0222168,0.00980253
8032,536,222,0.00632214,0.01458
8048,2418,96,0.00598057,0.00802077
8064,787,65,0.0010804,0.046883
8080,997,107,0.00331293,0.0155643
8096,283,245,0.00373354,0.0258623
8112,2336,572,0.10583,0.00469657
8128,1832,484,0.0638539,0.00982339
8144,3634,96,0.00879931,0.0199115
8160,2174,460,0.069832,0.00712668
8176,171,91,0.000803315,0.0616494
8192,838,117,0.00350334,0.0215948
8208,2761,93,0.00798038,0.00996402
8224,5182,247,0.06483,0.00910708
8240,2382,125,0.0109939,0.00352861
8256,765,468,0.0281786,0.0098933
8272,412,197,0.00391749,0.0236495
8288,1101,388,0.030271,0.00999343
8304,544,77,0.00105569,0.0337243
8320,314,198,0.00272877,0.0239645
8336,1938,290,0.0324355,0.00998418
8352,138,108,0.00077993,0.0329501
8368,347,130,0.00155935,0.0241026
