m,n,k,avg
0,32,2048,128,0.00426058
0,2048,64,4096,0.0362489
0,4096,32,128,0.00163985
0,256,1024,64,0.00146687
0,512,512,2048,0.037203
0,32,256,512,0.000882125
0,512,128,2048,0.0119472
0,64,2048,256,0.00742339
0,4096,4096,512,0.350292
0,256,32,64,0.000167922
0,64,512,2048,0.00706909
0,512,4096,32,0.00534858
0,64,64,4096,0.00154089
0,1024,128,4096,0.0383716
0,128,128,512,0.000893113
0,2048,4096,128,0.0558619
0,128,32,1024,0.000633014
0,4096,128,64,0.00284868
0,1024,1024,256,0.0174746
0,256,64,2048,0.00297182
0,128,4096,2048,0.0686734
0,256,4096,2048,0.118828
0,32,1024,256,0.00397292
0,2048,32,512,0.00396932
0,4096,64,1024,0.0180119
0,32,4096,2048,0.0314212
0,256,128,32,0.000149051
0,32,128,4096,0.00179544
0,512,64,4096,0.00997792
0,64,4096,512,0.0118771
0,128,2048,64,0.00177625
0,4096,512,1024,0.117486
0,1024,32,128,0.000553678
0,64,1024,1024,0.00697767
0,2048,1024,64,0.0100413
0,512,2048,256,0.0175175
0,64,128,2048,0.00176024
0,1024,256,32,0.000975418
0,128,1024,1024,0.0105488
0,2048,2048,1024,0.260352
0,4096,1024,128,0.0286415
0,128,256,512,0.00161904
0,4096,256,128,0.00884592
0,1024,2048,128,0.0181667
0,256,512,4096,0.0327268
0,32,512,512,0.00187478
0,64,256,64,0.000347055
0,2048,256,1024,0.037648
0,512,256,128,0.00142122
0,4096,2048,512,0.226963
0,32,2048,1024,0.00909166
0,256,256,256,0.00140817
0,32,64,2048,0.000590821
0,512,32,32,0.000110932
0,1024,4096,1024,0.218796
0,64,32,1024,0.000316236
0,1024,64,64,0.000375105
0,2048,128,128,0.00325044
0,64,2048,512,0.00699128
0,2048,512,128,0.00954544
0,512,1024,128,0.00480519
0,128,64,4096,0.00278537
0,1024,512,64,0.00281897
0,128,512,2048,0.0110027
0,32,32,64,5.24166e-05
0,256,2048,128,0.00488185
0,2048,64,512,0.00583577
0,128,128,256,0.000458559
0,4096,32,256,0.00318793
0,256,1024,32,0.00102294
0,512,512,1024,0.0181241
0,4096,128,2048,0.0710196
0,32,256,1024,0.00112701
0,512,128,64,0.000458037
0,4096,4096,4096,2.51905
0,32,1024,512,0.00356213
0,256,32,128,0.000115322
0,64,512,4096,0.0112902
0,512,4096,64,0.00836907
0,64,64,2048,0.000920329
0,1024,128,32,0.000538963
0,64,4096,256,0.0121595
0,2048,4096,256,0.108694
0,128,32,512,0.000275568
0,1024,1024,128,0.00902277
0,256,64,1024,0.00162277
0,2048,1024,2048,0.260512
0,128,4096,4096,0.109378
0,256,4096,64,0.00463836
0,2048,32,4096,0.0270078
0,128,1024,128,0.00177296
0,4096,64,512,0.00888578
0,32,4096,4096,0.050783
0,256,128,64,0.000206754
0,4096,256,1024,0.0620766
0,32,128,2048,0.00111262
0,512,64,32,0.000157397
0,128,2048,32,0.00124906
0,4096,512,2048,0.224036
0,1024,32,256,0.00108993
0,32,512,256,0.0020901
0,64,1024,512,0.0036376
0,512,2048,128,0.00935128
0,64,128,4096,0.00262292
0,1024,256,4096,0.0662976
0,64,32,128,0.00016207
0,2048,2048,512,0.139001
0,4096,1024,64,0.0163235
0,128,256,1024,0.00304056
0,1024,2048,256,0.0341578
0,2048,512,1024,0.0741462
0,256,512,32,0.000540835
0,64,256,32,0.000204214
0,2048,256,2048,0.0762186
0,512,256,256,0.00285966
0,128,512,64,0.000475338
0,4096,2048,1024,0.405077
0,32,2048,512,0.00678891
0,256,256,128,0.000765826
0,4096,32,512,0.0062799
0,32,64,4096,0.000944995
0,512,32,4096,0.00687402
0,1024,4096,512,0.120308
0,1024,64,32,0.000237302
0,32,256,128,0.000430035
0,2048,128,64,0.00176561
0,64,2048,1024,0.0137143
0,512,1024,256,0.0088165
0,128,64,512,0.000405314
0,1024,512,2048,0.0715999
0,32,32,32,3.24995e-05
0,256,2048,256,0.00944739
0,64,64,64,9.07161e-05
0,2048,64,1024,0.0112109
0,128,128,128,0.000237742
0,2048,4096,512,0.230035
0,256,1024,4096,0.0643699
0,512,512,512,0.0100484
0,4096,128,4096,0.122323
0,512,128,32,0.000282742
0,128,4096,32,0.00214964
0,4096,4096,2048,1.46684
