,nbytes,nnodes,ppn,avg,std
3661,2769,1,4,1.74319e-05,1.23293
3662,2908,1,4,5.02337e-05,2.06379
3663,3054,1,4,1.25876e-05,0.321075
3664,3207,1,4,3.75124e-05,2.83774
3665,3368,1,4,1.29536e-05,0.915132
3666,3537,1,4,1.11913e-05,0.940502
3667,3714,1,4,1.3531e-05,1.24248
3668,3900,1,4,1.57441e-05,1.11148
3669,4096,1,4,1.50508e-05,0.81265
3670,4301,1,4,6.12758e-05,2.2476
3671,4517,1,4,1.56071e-05,0.98411
3672,4744,1,4,1.23593e-05,0.785327
3673,4981,1,4,1.43543e-05,0.837404
3674,5231,1,4,1.95368e-05,1.24969
3675,5494,1,4,1.42205e-05,0.865439
3676,5769,1,4,1.51742e-05,1.08956
3677,6058,1,4,3.98958e-05,2.58536
3678,6362,1,4,4.4672e-05,2.50639
3679,6681,1,4,4.12651e-05,2.31786
3680,7016,1,4,1.35078e-05,0.565167
3681,7368,1,4,1.36301e-05,0.659677
3682,7737,1,4,1.59027e-05,0.892791
3683,8125,1,4,1.67328e-05,0.953168
3684,8533,1,4,1.93859e-05,0.702195
3685,8961,1,4,1.93713e-05,0.745917
3686,9410,1,4,7.41056e-05,1.98817
3687,9882,1,4,2.26669e-05,1.32094
3688,10378,1,4,7.85392e-05,1.93559
3689,10898,1,4,4.57905e-05,2.59797
3690,11444,1,4,5.17372e-05,2.02449
3691,12018,1,4,7.19927e-05,2.55712
3692,12621,1,4,7.05403e-05,2.1769
3693,13254,1,4,2.41796e-05,1.15712
3694,13918,1,4,2.62823e-05,1.47232
3695,14616,1,4,2.40856e-05,0.854879
3696,15349,1,4,4.69762e-05,2.05101
3697,16119,1,4,5.32048e-05,2.2143
3698,16927,1,4,2.21752e-05,0.597211
3699,17776,1,4,5.10552e-05,2.36673
3700,18667,1,4,5.12046e-05,2.35998
