nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
12500,46,96,42,3,0,4,2,4,2,8,16,1,0.754774,1.473718
12348,21,16,22,1,1,9,1,1,2,64,2,1,0.150855,0.054551
41609,27,40,117,4,1,0,1,1,2,64,2,1,0.695492,0.161346
16983,73,31,114,6,7,1,2,1,4,8,8,1,1.920164,0.903936
12532,58,69,25,5,2,8,4,4,1,8,16,1,1.104578,1.244444
2948,90,29,16,3,9,10,2,1,1,32,2,1,0.093655,0.073247
41829,16,62,28,1,0,12,1,2,1,64,2,1,0.326146,0.071291
3781,53,89,120,0,5,0,1,2,4,8,8,1,15.644615,2.881184
1993,125,78,55,1,1,11,8,4,2,2,64,1,10.538127,26.261326
21,98,71,86,5,4,1,4,4,4,1,64,1,18.651228,34.499264
1440,24,24,104,5,1,9,2,2,16,2,64,1,0.895347,1.118162
13282,19,127,93,6,6,10,1,4,4,8,16,1,2.118863,1.953464
7147,25,23,21,2,7,2,4,4,2,4,32,1,0.496376,0.277032
35106,78,84,23,0,2,8,1,2,1,32,2,1,3.803542,0.246458
40134,33,113,51,1,5,4,1,2,1,64,2,1,1.368629,0.225375
4517,101,39,16,2,4,1,8,2,1,8,16,1,1.141942,0.678708
1100,29,63,43,5,4,1,2,8,4,1,64,1,1.399298,3.011712
42397,49,71,25,2,7,4,1,2,1,64,2,1,1.085236,0.161852
11290,51,40,55,2,8,5,1,1,2,32,2,1,1.115804,0.208866
38647,69,19,58,1,4,0,2,1,1,64,2,1,0.658084,0.164113
41059,60,31,30,6,8,2,2,1,1,64,2,1,0.504904,0.128541
7059,17,24,30,2,2,4,2,4,4,4,32,1,0.446972,0.287718
2144,32,38,76,3,3,8,1,2,2,32,4,1,0.227495,0.276586
8074,44,53,109,5,6,1,2,2,4,4,16,1,2.274190,3.049267
18711,86,27,17,6,6,8,4,2,1,16,8,1,0.512966,0.259213
3643,17,51,81,4,0,2,1,2,4,16,8,1,0.565429,0.230239
40139,88,110,35,4,0,1,1,2,1,64,2,1,1.783716,0.244338
17795,83,23,23,2,0,12,4,2,1,8,8,1,0.573537,0.166861
9943,16,28,62,3,7,5,1,1,4,32,4,1,0.172106,0.088462
37124,100,19,79,2,5,7,2,1,1,32,2,1,1.514355,0.167106
16619,42,27,31,5,1,3,2,2,2,8,8,1,0.303744,0.219306
34052,77,19,36,1,3,7,2,1,1,32,2,1,0.397135,0.129876
7147,49,69,41,0,1,7,4,4,4,2,64,1,8.252858,23.415733
12139,63,16,92,2,1,13,1,1,2,32,2,1,0.902088,0.119686
10364,45,51,69,4,9,0,2,2,4,4,16,1,1.032768,1.303218
9040,88,33,22,6,7,9,4,1,1,16,4,1,0.480542,0.142684
26854,126,37,81,1,4,5,2,1,2,16,4,1,2.733512,1.118617
1294,70,26,99,4,5,12,1,1,2,32,2,1,0.826143,0.190023
8540,47,28,108,0,7,10,1,1,4,16,4,1,3.749041,0.391556
7151,97,64,34,6,4,11,4,2,1,16,8,1,1.935069,1.312899
3008,25,40,76,1,3,3,2,2,4,4,16,1,0.839157,0.833702
428,52,115,47,5,1,12,2,8,2,2,32,1,2.934525,5.983107
44655,40,59,40,6,0,1,1,1,1,64,1,1,0.563020,0.065239
4307,81,17,18,4,3,1,8,1,1,8,8,1,0.176131,0.127934
291,76,113,86,0,5,13,1,1,1,64,1,1,18.209222,0.510310
5945,30,20,25,5,0,9,4,2,4,4,32,1,0.339832,0.226466
4913,87,77,87,2,6,5,4,4,4,1,64,1,17.890542,31.196129
46241,27,50,35,1,0,13,1,1,1,64,1,1,0.299272,0.039684
16533,75,90,21,3,8,6,2,4,1,8,8,1,0.325075,0.672777
7376,72,110,127,0,4,9,4,4,4,2,64,1,45.774261,61.973786
24461,73,24,16,1,5,5,4,1,1,16,4,1,0.247963,0.090202
1228,32,19,113,3,6,5,2,2,8,2,32,1,0.456268,7.046551
5419,54,21,18,3,1,9,4,2,2,8,16,1,0.192477,0.328362
1283,25,86,42,0,5,0,2,8,4,2,64,1,3.919256,3.927579
37829,21,40,85,5,2,1,1,1,2,64,2,1,0.571467,0.133578
1221,53,17,58,3,1,11,1,1,2,64,2,1,0.168036,0.114879
42,18,25,45,1,2,6,2,4,8,1,64,1,0.774026,0.789205
2291,17,92,29,5,5,0,2,8,4,2,64,1,0.770996,1.153845
2506,16,34,40,1,8,10,1,2,2,16,4,1,0.215905,0.092263
4471,69,109,34,4,9,6,4,4,2,4,32,1,2.328003,2.494856
12090,21,69,30,4,9,2,2,4,2,8,16,1,0.508075,0.390196
25732,46,103,32,5,3,11,1,4,1,16,4,1,0.944166,0.443209
8805,21,16,58,3,7,4,1,1,4,16,4,1,0.083070,0.068944
35866,74,19,90,2,2,3,1,1,2,32,2,1,1.239036,0.190212
551,36,89,96,6,6,9,2,4,8,1,64,1,4.712002,10.202554
14821,32,88,34,6,1,9,2,8,4,2,64,1,1.471280,2.192032
3663,30,95,30,4,5,0,2,4,2,8,16,1,0.818503,0.806754
4684,29,78,16,6,9,9,2,8,2,2,32,1,0.439199,0.521287
14986,42,50,24,2,0,6,4,8,2,2,64,1,1.692804,0.965453
5589,28,20,21,6,6,10,4,4,2,4,32,1,0.316692,0.360143
27614,24,29,22,6,3,8,2,2,1,16,4,1,0.149334,0.079804
21710,17,62,29,4,6,0,1,4,2,16,8,1,0.349993,0.166095
41716,36,62,49,2,9,12,1,2,1,64,2,1,1.285550,0.166489
3087,20,24,28,6,1,13,2,4,4,4,32,1,0.294900,0.231391
37022,22,54,60,5,7,1,1,1,2,32,2,1,0.482944,0.122985
2422,74,64,38,5,9,13,4,4,4,2,64,1,3.603865,4.495409
18140,53,17,67,1,6,1,2,1,4,8,8,1,0.517639,0.331575
639,58,95,41,6,8,6,4,4,2,4,32,1,2.849008,3.765750
6010,23,102,25,3,4,5,2,8,2,4,32,1,0.389516,1.127606
7032,107,94,89,1,4,13,4,4,2,4,32,1,13.020780,18.202263
13366,76,18,66,4,2,13,4,1,4,8,16,1,0.795082,0.845374
10655,122,71,33,5,8,7,4,4,1,4,16,1,2.477076,2.622408
46851,49,56,20,1,7,13,1,1,1,64,1,1,0.370273,0.059127
4169,48,52,38,0,5,8,4,4,2,2,32,1,3.484657,9.479052
674,30,84,50,1,0,10,2,8,4,1,64,1,2.686736,2.902647
30093,65,99,32,2,4,8,2,2,1,32,4,1,2.490156,0.624105
23393,73,33,54,6,6,12,2,1,2,16,4,1,0.873172,0.364827
4485,45,28,26,5,8,10,4,2,2,4,16,1,0.360458,0.414123
4110,30,30,58,1,9,2,4,2,4,4,32,1,0.883143,0.668626
31133,108,96,34,5,2,8,2,2,1,32,4,1,2.573087,0.683894
2066,61,30,24,5,2,10,8,4,2,2,64,1,0.923752,2.015504
8751,82,22,28,5,0,11,4,1,1,16,4,1,0.359675,0.097149
14566,88,41,18,1,7,12,1,1,1,64,1,1,0.437823,0.065566
34659,25,28,24,2,3,12,1,2,1,32,2,1,0.220742,0.060816
27812,39,22,105,4,5,5,1,1,4,32,4,1,0.548045,0.154976
30742,28,126,37,6,8,10,1,4,1,32,4,1,0.971069,0.283308
2240,42,82,26,4,5,9,2,2,1,32,4,1,0.590160,0.183402
12662,17,25,43,6,7,12,1,1,2,64,2,1,0.250840,0.066420
458,18,107,27,6,7,8,2,16,2,1,64,1,0.923596,1.315676
9036,17,38,18,5,6,4,2,4,2,4,16,1,0.159763,0.197756
81,113,82,42,6,1,2,8,4,2,1,64,1,5.720425,22.247203
1805,79,47,21,4,1,12,4,4,2,2,32,1,0.739508,1.647618
2612,17,65,41,6,5,13,1,2,2,16,4,1,0.316419,0.108583
25056,69,43,123,3,2,1,2,1,2,16,4,1,0.528452,4.765882
5123,74,71,25,2,4,4,4,4,1,8,16,1,2.163526,1.368253
18311,73,57,32,0,3,3,4,2,1,8,8,1,3.665825,0.861219
28626,95,85,18,1,2,4,2,2,1,32,4,1,1.172980,0.325305
14062,21,57,99,0,3,8,1,1,1,64,1,1,2.641791,0.125417
14033,51,62,105,3,2,1,1,1,1,64,1,1,0.323068,0.320743
4971,74,61,54,3,4,11,4,4,2,4,32,1,1.285265,6.851279
15738,61,62,24,2,3,0,2,4,1,8,8,1,1.107885,0.485503
7121,110,20,63,6,2,12,4,1,2,16,8,1,1.225442,0.675472
9483,31,98,33,5,0,4,1,4,1,16,4,1,0.620674,0.166581
32947,40,67,115,0,4,13,1,1,2,32,2,1,7.743869,0.575535
5607,105,120,41,0,4,4,4,4,1,8,16,1,15.783739,6.636680
40588,26,73,17,1,6,8,1,2,1,64,2,1,0.375488,0.092098
14462,28,40,121,1,8,9,1,2,4,8,8,1,1.107895,0.704147
14252,25,36,44,0,4,2,1,1,1,64,1,1,0.877374,0.067361
15547,30,114,72,5,0,10,2,8,4,2,64,1,3.942256,4.495618
5064,16,63,72,6,2,5,2,4,8,2,64,1,1.170634,1.886485
555,20,23,19,2,9,1,1,1,1,64,1,1,0.102059,0.019418
4690,32,20,66,5,0,9,4,2,8,1,64,1,0.851470,1.093015
25813,35,112,45,5,2,0,1,4,1,16,4,1,1.105330,0.408106
16741,19,67,63,3,5,4,1,4,2,8,8,1,0.196459,0.880434
16287,16,19,75,6,0,7,1,2,4,8,8,1,0.203665,0.097412
5704,46,38,40,1,7,4,4,2,2,8,16,1,1.151129,0.637666
6791,20,61,28,6,7,13,1,4,2,8,8,1,0.306445,0.156603
13993,46,114,127,3,7,10,1,1,1,64,1,1,0.713161,0.419395
581,75,29,73,3,7,11,4,2,4,2,32,1,1.167286,2.808840
2197,45,108,16,2,2,13,4,8,2,2,64,1,2.035214,2.692263
39586,103,26,118,1,7,6,1,1,2,64,2,1,2.347275,0.394373
15820,76,16,85,1,3,11,2,1,4,8,8,1,0.799163,0.450690
31793,35,16,25,6,6,1,2,1,2,32,4,1,0.198276,0.109642
14697,44,112,32,6,8,3,2,4,1,8,8,1,1.066984,0.720108
6217,62,38,64,0,4,8,2,2,2,8,8,1,4.315328,1.140434
18294,127,120,16,1,1,4,4,2,1,8,8,1,1.843614,0.692566
990,51,121,26,2,9,10,4,8,2,1,64,1,4.116480,4.345442
23645,31,80,34,5,8,6,1,4,1,16,4,1,0.557919,0.225126
961,102,32,35,5,3,4,8,2,4,1,64,1,1.718991,4.101993
12706,16,64,72,5,5,12,1,4,4,8,16,1,0.798662,0.454706
45328,27,38,17,0,8,9,1,1,1,64,1,1,0.408850,0.038295
23846,30,81,97,1,9,9,1,2,2,16,4,1,1.626348,0.468462
5928,43,104,77,2,6,11,2,4,4,4,32,1,6.227248,5.182452
1402,104,54,17,3,0,8,8,4,2,2,64,1,0.918170,1.563238
46169,28,21,53,0,9,9,1,1,1,64,1,1,0.694730,0.038486
8515,16,85,101,2,4,7,1,4,4,4,16,1,1.688792,1.272337
12402,80,22,16,2,3,8,2,1,1,64,2,1,0.466872,0.089024
46857,90,86,70,5,3,2,1,1,1,64,1,1,3.124660,0.535170
9495,31,93,65,5,9,9,1,2,2,16,4,1,1.199454,0.381229
3123,16,37,50,0,5,5,2,4,4,2,32,1,1.196344,0.665535
3321,17,52,26,4,2,11,2,4,2,4,16,1,0.206888,0.337812
6248,45,91,115,3,9,12,2,4,4,4,32,1,2.259838,7.948379
672,16,17,59,0,2,4,4,2,8,1,64,1,0.772872,0.700426
7672,19,31,47,0,7,7,2,2,4,4,16,1,0.995616,0.269776
1760,55,43,90,1,7,0,4,2,8,2,64,1,5.110999,5.575093
15443,63,16,18,5,6,11,8,2,4,2,64,1,0.422566,0.730205
17129,17,16,56,2,4,7,2,1,4,8,8,1,0.249774,0.100839
5768,73,36,69,2,0,6,4,2,2,8,16,1,3.525806,1.038760
29742,38,37,19,6,1,10,2,2,1,32,4,1,0.323901,0.106802
5922,22,35,68,2,3,11,2,4,4,4,32,1,1.273158,0.883205
3330,17,60,39,3,7,2,1,4,4,4,16,1,0.199981,0.288474
