nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
8495,25,32,31,2,2,12,1,2,2,16,4,1,0.346482,0.110779
46,31,18,30,0,9,4,2,1,2,16,4,1,0.447586,0.071636
3065,28,28,18,4,5,5,4,4,2,4,32,1,0.284969,0.285759
6058,27,31,17,0,6,3,4,4,2,4,32,1,0.688238,0.571325
2929,31,31,24,2,6,13,4,4,2,4,32,1,0.772849,0.479502
761,29,32,32,3,1,9,2,4,4,4,32,1,0.279909,2.188286
34361,22,22,27,4,0,9,1,1,2,32,2,1,0.106638,0.034635
44364,17,26,28,5,0,5,1,1,1,64,1,1,0.097629,0.020323
5335,28,25,26,5,6,13,4,2,2,4,16,1,0.214299,0.330949
13909,22,32,20,5,2,2,1,1,1,64,1,1,0.108979,0.022143
42709,25,22,17,6,6,1,2,1,1,64,2,1,0.156947,0.061454
20011,26,26,28,5,2,2,2,2,2,16,8,1,0.317527,0.163107
2705,16,29,30,4,1,6,2,4,4,2,32,1,0.224208,0.246367
39415,26,24,26,4,6,11,2,1,1,64,2,1,0.177232,0.062369
4679,21,18,16,5,5,5,4,4,2,2,32,1,0.170950,0.175429
29587,30,30,30,5,3,6,2,2,1,32,4,1,0.335752,0.159430
11933,23,16,26,6,6,12,2,2,4,8,16,1,0.235429,0.193841
25037,17,23,21,6,7,3,1,2,2,16,4,1,0.110290,0.048041
3873,16,19,28,3,4,8,2,4,4,2,32,1,0.133452,0.249389
13479,17,18,18,0,4,6,2,4,2,8,16,1,0.468854,0.168780
20,20,28,22,3,7,12,4,4,4,1,64,1,0.281789,0.538291
47443,18,19,30,4,7,12,1,1,1,64,1,1,0.077472,0.018247
19269,18,28,20,0,4,5,2,2,2,16,8,1,0.533964,0.146965
16592,25,16,31,0,9,4,2,2,2,8,8,1,0.385400,0.101211
30874,21,19,29,6,7,10,2,1,2,32,4,1,0.219209,0.080641
14634,26,25,22,1,8,8,1,1,1,64,1,1,0.106755,0.024971
4039,21,19,16,0,9,1,4,4,2,2,32,1,0.367163,0.149549
15,27,28,22,2,6,10,1,1,1,64,1,1,0.171300,0.024483
5970,31,25,20,3,4,3,2,2,2,8,8,1,0.081616,0.152683
2604,26,30,27,3,4,5,4,4,2,4,32,1,0.246467,0.467499
7362,17,16,16,5,8,5,4,2,2,4,16,1,0.103705,0.126695
3786,17,16,20,3,2,2,2,2,4,4,16,1,0.066012,0.161392
22968,19,16,21,6,4,4,2,1,2,16,4,1,0.082529,0.042548
5207,28,28,16,4,4,13,4,2,2,4,16,1,0.151663,0.248640
1549,19,28,20,5,8,1,4,4,4,2,64,1,0.406601,0.724531
2355,31,29,25,6,2,0,2,2,1,16,4,1,0.194034,0.101428
5572,26,19,26,6,7,8,4,2,2,4,16,1,0.205691,0.169567
14751,19,18,22,3,6,5,2,2,2,8,8,1,0.072053,0.098011
4817,20,23,32,4,7,11,2,2,4,8,16,1,0.278340,0.216189
8715,16,16,30,4,9,12,2,2,4,4,16,1,0.103946,0.106197
12629,16,29,32,0,6,11,1,1,2,64,2,1,0.480020,0.070055
1705,20,23,25,0,7,0,2,4,4,2,32,1,0.583107,0.268900
29821,16,22,17,5,6,1,1,2,2,32,4,1,0.136957,0.069254
45083,20,23,21,5,2,4,1,1,1,64,1,1,0.077885,0.019958
4985,20,21,30,6,6,3,4,2,4,4,32,1,0.277281,0.321637
2847,21,21,26,6,7,7,2,1,2,32,4,1,0.223830,0.081837
1096,22,24,19,2,0,5,1,2,1,32,2,1,0.194074,0.052323
46031,22,24,21,1,1,12,1,1,1,64,1,1,0.091305,0.020863
998,32,21,21,1,1,4,2,1,1,64,2,1,0.201036,0.065685
4966,18,24,22,5,6,10,2,4,2,8,16,1,0.259332,0.182103
3072,29,25,27,1,7,11,4,2,2,4,16,1,0.383546,0.235451
26838,24,18,28,6,9,10,2,1,2,16,4,1,0.126156,0.059246
4444,27,21,20,3,3,5,4,4,2,4,32,1,0.192521,0.285028
9651,26,25,18,4,4,9,2,2,1,16,4,1,0.107115,0.061140
57,22,29,30,1,7,8,1,1,1,64,1,1,0.145534,0.027419
2195,22,30,26,1,0,4,1,2,2,32,4,1,0.272546,0.080202
33133,21,18,22,0,8,0,1,1,2,32,2,1,0.224544,0.049334
12085,25,25,29,6,2,1,1,1,2,32,2,1,0.156276,0.054743
655,24,19,17,6,5,10,4,4,4,1,64,1,0.396267,0.406189
3200,16,26,16,5,5,7,4,4,2,2,32,1,0.167228,0.171156
43002,20,17,24,0,1,7,1,1,1,64,1,1,0.183985,0.021590
46990,31,27,23,2,6,0,1,1,1,64,1,1,0.197760,0.024676
2245,30,30,21,2,8,1,2,2,1,16,4,1,0.275470,0.094992
29310,30,16,17,5,9,10,2,1,2,32,4,1,0.164529,0.072902
45949,26,21,21,1,5,1,1,1,1,64,1,1,0.093653,0.021321
2889,18,32,25,0,9,4,2,4,4,4,32,1,0.695086,0.256396
3248,20,23,21,1,9,1,4,4,2,2,32,1,0.338197,0.239602
102,20,20,31,4,9,8,4,4,4,1,64,1,0.357255,0.453139
4184,30,28,20,5,7,7,4,2,2,4,16,1,0.251519,0.184529
25668,28,27,17,2,8,6,2,2,1,16,4,1,0.202140,0.070388
42878,32,26,16,6,6,4,1,1,1,64,1,1,0.106595,0.022895
34927,18,31,28,5,3,6,1,2,1,32,2,1,0.140338,0.053454
1460,23,18,29,2,2,11,4,2,4,2,32,1,0.387544,0.308731
13562,25,27,18,6,4,2,2,4,2,8,16,1,0.261809,0.249480
5236,29,18,27,3,9,5,4,2,2,8,16,1,0.183357,0.181335
13554,25,27,16,4,6,6,2,4,2,8,16,1,0.237514,0.178237
46596,28,18,20,2,9,10,1,1,1,64,1,1,0.114263,0.019107
13518,26,22,26,0,0,6,1,1,1,64,1,1,0.340737,0.026822
1363,31,18,24,0,4,1,4,4,4,2,64,1,1.293881,0.715767
18495,20,19,16,4,8,2,2,2,2,8,8,1,0.078932,0.079108
1839,31,27,17,5,6,1,1,1,1,64,1,1,0.110466,0.023367
28553,17,26,24,5,2,5,1,2,2,32,4,1,0.173884,0.069709
17968,20,20,22,1,4,3,2,2,2,8,8,1,0.141292,0.091569
3493,18,19,28,1,4,6,2,2,4,4,16,1,0.218266,0.150119
37702,25,29,17,2,0,10,1,2,1,32,2,1,0.167005,0.036042
36155,24,22,16,6,8,5,2,1,1,32,2,1,0.093557,0.033333
2273,21,28,17,4,4,0,4,4,4,2,64,1,0.307330,0.499262
2263,17,20,25,5,8,6,2,2,2,8,8,1,0.120425,0.120752
2039,17,23,21,3,7,9,2,4,4,2,32,1,0.153548,0.180329
21774,18,30,18,5,8,3,2,2,2,16,8,1,0.202080,0.160176
15522,17,23,23,2,2,11,4,4,4,2,64,1,0.724111,0.591846
19425,20,21,23,6,5,12,2,2,2,16,8,1,0.216737,0.123923
30258,21,16,17,3,1,7,2,1,2,32,4,1,0.103551,0.051214
36272,24,25,27,1,5,9,1,1,2,32,2,1,0.167728,0.052778
17884,17,22,29,1,8,6,2,2,2,8,8,1,0.187315,0.127581
2988,24,29,24,0,5,0,1,2,1,32,2,1,0.427265,0.049175
18792,19,16,29,0,2,11,2,2,2,16,8,1,0.467975,0.123209
1871,28,17,23,0,5,12,4,2,4,2,32,1,0.516145,0.346161
23670,19,17,17,3,5,3,2,2,1,16,4,1,0.048733,0.038807
36300,26,31,18,4,2,0,1,2,1,32,2,1,0.109892,0.038822
29193,16,23,18,0,9,13,1,2,2,32,4,1,0.286865,0.068986
12510,29,29,25,6,6,2,4,2,2,8,16,1,0.376318,0.356610
21249,27,20,16,3,2,4,2,2,2,16,8,1,0.110204,0.113004
15825,17,21,23,2,7,12,2,2,2,8,8,1,0.193097,0.086962
4263,16,17,28,0,6,3,2,2,2,8,8,1,0.255908,0.095057
7168,17,16,28,2,5,9,2,2,2,16,8,1,0.320814,0.101656
33423,30,30,30,2,1,10,2,1,1,32,2,1,0.342708,0.058238
10208,25,30,16,2,4,7,2,4,2,4,16,1,0.308233,0.171603
13621,17,24,17,6,0,0,1,1,1,64,1,1,0.061805,0.016833
896,27,23,23,2,4,7,4,4,4,1,64,1,1.086415,0.621390
2385,20,24,23,0,2,6,2,2,2,8,8,1,0.389474,0.125361
4507,22,29,32,6,2,2,2,2,4,8,16,1,0.363132,0.301143
47310,27,32,19,1,8,13,1,1,1,64,1,1,0.124353,0.026889
3180,31,31,17,0,4,7,2,1,1,64,2,1,0.557409,0.081289
5783,22,32,22,6,2,12,2,4,2,8,16,1,0.304215,0.238865
15137,30,29,23,3,5,11,2,2,2,8,8,1,0.094394,0.259817
23139,21,16,18,4,7,7,2,1,2,16,4,1,0.087717,0.030657
21897,16,23,31,4,6,2,2,2,2,16,8,1,0.192822,0.127352
2176,17,23,26,6,8,4,1,2,2,32,4,1,0.171830,0.090339
23599,32,32,18,1,2,1,2,2,1,16,4,1,0.199689,0.082631
4815,30,28,16,1,1,6,4,4,4,1,64,1,0.775911,0.557162
43109,17,22,20,4,9,4,1,1,1,64,1,1,0.058357,0.017509
14108,17,26,16,3,3,6,2,2,2,8,8,1,0.070366,0.074887
7522,30,17,20,0,2,4,2,2,2,16,8,1,0.497982,0.131618
23622,21,27,26,1,3,7,1,2,2,16,4,1,0.168740,0.077499
1691,25,25,27,1,5,13,4,4,4,2,64,1,1.053314,0.837273
28191,21,22,26,6,1,12,1,2,2,32,4,1,0.188225,0.075808
1357,21,23,16,3,0,12,2,4,2,8,16,1,0.132658,0.137187
10347,24,23,16,3,4,8,2,2,1,32,4,1,0.114718,0.062012
10358,16,32,18,1,4,8,2,4,2,4,16,1,0.196489,0.150298
3821,27,17,30,5,6,8,2,2,4,4,16,1,0.193186,0.234349
5606,19,26,26,3,0,12,2,4,4,4,32,1,0.168340,0.216222
5118,19,30,30,0,3,5,2,4,2,8,16,1,0.881237,0.328179
1614,17,19,27,3,5,8,4,4,4,2,64,1,0.277956,1.630070
13224,17,30,26,1,3,8,2,4,2,8,16,1,0.435130,0.239074
28727,19,18,26,1,2,12,2,1,2,32,4,1,0.183315,0.073868
