m,n,k,avg
0,3503,732,2561,0.38767
0,112,1601,1369,0.017303
0,1873,96,3503,0.0497222
0,179,1171,286,0.00467639
0,2995,131,732,0.0235459
0,392,245,179,0.00127803
0,1601,44,1001,0.00597216
0,2190,1601,626,0.1346
0,1873,1001,2190,0.248325
0,732,1171,1601,0.0854175
0,286,732,1171,0.0178782
0,2995,1873,626,0.214836
0,1369,1873,82,0.0137771
0,1369,392,179,0.0068736
0,2190,1001,209,0.0273138
0,1873,1601,732,0.1312
0,4096,1171,1601,0.42114
0,1601,2561,2561,0.617651
0,3503,392,458,0.0410529
0,209,2561,1369,0.0518195
0,245,1369,1171,0.0256931
0,1001,70,2561,0.013893
0,4096,60,3503,0.0633546
0,96,1601,3503,0.0415347
0,286,3503,335,0.0193907
0,1171,626,245,0.0107679
0,209,2995,3503,0.146608
0,82,3503,1001,0.0304393
0,2561,1171,179,0.0302253
0,1001,732,856,0.0393492
0,179,1369,1001,0.0173903
0,2190,535,626,0.0488232
0,856,1601,2995,0.251812
0,1873,2995,2190,0.695764
0,96,3503,286,0.00774455
0,112,2190,626,0.0122748
0,286,179,2995,0.0124356
0,2995,96,2995,0.0713062
0,1171,82,2190,0.0152316
0,1601,32,2995,0.0155409
0,286,1873,2561,0.0874776
0,1171,1171,3503,0.282881
0,1601,458,60,0.00369147
0,626,732,1369,0.0448634
0,392,60,1369,0.00314311
0,2561,2190,3503,1.11306
0,70,2995,1001,0.020581
0,1369,535,2561,0.116804
0,2190,3503,1001,0.445209
0,60,3503,3503,0.0696624
0,131,732,3503,0.0244369
0,535,1171,2561,0.101533
0,3503,1001,1873,0.380652
0,112,1171,1001,0.010778
0,245,1001,4096,0.0647027
0,535,82,2995,0.0106319
0,3503,37,2995,0.0377864
0,1873,112,1601,0.0285411
0,732,856,2190,0.0872645
0,2995,2561,856,0.377
0,1369,1369,112,0.014141
0,1369,286,131,0.00391349
0,2190,732,286,0.0295775
0,153,856,856,0.00838764
0,1873,2190,1001,0.2259
0,535,2190,335,0.0289085
0,1601,3503,3503,1.12893
0,458,3503,96,0.0112843
0,392,1171,1369,0.0434214
0,153,60,2561,0.00184269
0,2561,82,535,0.00895031
0,1001,96,3503,0.0259853
0,2190,51,1873,0.0177236
0,3503,2995,112,0.0703219
0,96,4096,2561,0.085888
0,2995,1001,37,0.00943759
0,1171,458,179,0.00622725
0,1601,179,32,0.00101786
0,626,1001,51,0.00234542
0,2561,856,131,0.0185967
0,1001,1001,626,0.0407263
0,335,82,1601,0.00363331
0,4096,179,1601,0.0820675
0,2190,392,458,0.0269811
0,856,2190,2190,0.240678
0,1873,4096,1601,0.65137
0,535,856,1171,0.0335955
0,209,535,1601,0.0125489
0,82,179,2190,0.00295029
0,2995,131,4096,0.153354
0,1601,44,4096,0.0231855
0,4096,3503,335,0.261965
0,2190,335,335,0.0156913
0,856,286,131,0.00251956
0,1873,1001,535,0.0619798
0,732,1171,82,0.00424605
0,286,732,3503,0.0511261
0,2995,1873,60,0.0214198
0,1171,856,392,0.025182
0,1601,626,1873,0.113616
0,626,535,3503,0.0748174
0,60,112,1369,0.000991509
0,2561,1601,2561,0.581108
0,2190,2561,732,0.242806
0,1873,1601,245,0.046272
0,131,1001,2561,0.0231282
0,179,4096,51,0.00325942
0,535,1601,535,0.0307788
0,1601,2561,856,0.199981
0,3503,392,1369,0.122311
0,1369,4096,2995,0.914557
0,535,179,1873,0.0142099
0,179,1601,1171,0.0222568
0,1001,70,856,0.00460925
0,131,96,2995,0.00381025
0,335,1171,2190,0.0580135
0,3503,51,4096,0.0590869
0,286,3503,82,0.00616964
0,1873,153,4096,0.0873119
0,2995,3503,1171,0.690395
0,82,3503,2995,0.0826822
0,1601,335,96,0.00398719
0,179,1369,4096,0.0694049
0,1369,209,335,0.00671034
0,856,1601,732,0.0624232
0,1873,2995,392,0.136734
0,732,1873,2561,0.209376
0,1601,1369,1369,0.180228
0,392,856,1873,0.0434777
0,245,2561,153,0.00631041
0,2561,60,2561,0.032693
0,3503,4096,153,0.112575
0,732,458,131,0.00294205
0,2995,1369,335,0.0905395
0,1171,1171,131,0.0118225
0,153,131,2995,0.00685687
0,2561,2190,96,0.0359683
0,1369,535,96,0.00476922
0,2190,3503,4096,1.72392
0,856,2995,1601,0.23994
0,458,245,2561,0.0217451
0,1873,458,1171,0.0616241
0,535,1171,856,0.0348873
0,112,1171,4096,0.0387737
0,732,82,4096,0.0194444
0,458,535,2995,0.0512094
0,2995,179,1601,0.0603591
0,1171,153,1171,0.0165799
0,626,51,1171,0.0029361
0,2561,112,458,0.0120255
0,4096,2561,245,0.139607
0,856,1001,209,0.0115284
0,44,1171,3503,0.019654
0,1873,112,392,0.00704034
0,286,1001,1369,0.0262091
0,2995,2561,44,0.0256712
0,1171,2190,535,0.0913411
