msgsize,ppn,nnodes,avg,std
39030,144467,8,8,0.000350067,0.241835
18647,616882,2,1,0.000326596,0.0731727
54077,8968148,64,1,0.00627136,0.0139029
24803,25819654,16,8,0.0168002,0.0140548
3430,519484,32,64,0.00135881,0.200861
9678,18346748,4,16,0.0115494,0.114707
60992,1161277,2,8,0.00113059,0.148318
51459,14503387,16,32,0.0108192,0.0297453
56669,1111583,8,1,0.000497957,0.0774158
12089,1614585,8,32,0.0022714,0.0631373
59129,932204,64,8,0.00156238,0.0509554
47488,12027527,4,16,0.00783899,0.198856
52774,387088,8,8,0.000774031,0.276962
33732,3093435,8,16,0.00427091,0.164938
40206,400653,64,128,0.0013087,0.144124
60308,442067,32,1,0.000224332,0.104469
10033,217903,32,8,0.000523152,0.244856
46907,119553,4,16,0.000353743,0.272118
56928,104848,32,16,0.000309543,0.259233
38407,1308244,2,64,0.00169648,0.188847
47679,469484,32,16,0.00100953,0.147608
14975,3444060,64,2,0.00298152,0.0174422
55849,3973022,32,1,0.00192429,0.0360296
15346,9460245,8,2,0.00511902,0.00726564
12493,372812,1,128,0.001104,0.240961
16103,623286,16,8,0.00110888,0.136512
20164,102908,16,32,0.000343053,0.286804
4730,2241752,4,64,0.00263955,0.174587
47505,2105563,32,2,0.00142823,0.0458989
20012,26954550,16,2,0.0146753,0.0186565
1726,41666392,1,4,0.0118442,0.0356365
56132,1634500,1,128,0.0018869,0.0995489
33786,15765179,32,16,0.0123677,0.0423065
18388,1620478,8,4,0.00136233,0.0369205
16927,22448066,8,2,0.0116881,0.00651993
26230,431068,1,4,0.00021913,0.203633
5898,17386235,64,32,0.0177474,0.027071
10075,282068,8,2,0.000212692,0.156484
59846,1637502,1,2,0.000240882,0.14151
10974,2362914,16,16,0.00259135,0.0490154
19102,29200469,1,4,0.00838397,0.0348006
57007,4222593,8,64,0.00472503,0.10753
45026,329914,1,8,0.000662727,0.230389
40777,20632365,16,1,0.00884273,0.010176
15380,17600571,4,1,0.00695149,0.00641059
46971,2442945,2,32,0.00284428,0.416091
23201,83845,32,32,0.000433148,0.429723
15936,1900248,16,4,0.00151934,0.0349536
15774,3258140,8,1,0.00142463,0.0255333
2270,2189400,8,1,0.000959717,0.0205263
42600,169687,64,4,0.000338141,0.21833
39533,5343186,2,64,0.00352447,0.13074
59383,3367190,16,2,0.00199113,0.00917208
23810,5490547,1,32,0.00261362,0.0838477
44518,123299,16,16,0.000385906,0.246725
32486,19128153,4,2,0.0112184,0.0336715
56404,619373,16,2,0.000518878,0.0814729
13659,51428587,4,64,0.0506736,0.1341
7765,5676789,16,128,0.00601743,0.0660557
1621,3388390,2,16,0.00186465,0.123719
39401,3313530,2,8,0.00170714,0.0951343
62200,5205208,64,64,0.0065021,0.0440357
62849,115537,8,8,0.000275319,0.290723
56805,43105447,4,2,0.0254979,0.0261558
25926,1285398,32,64,0.00223048,0.10086
25716,49978891,16,32,0.0384602,0.0283257
10461,3069079,1,32,0.00205179,0.106822
50216,356657,32,2,0.0003272,0.0695691
9738,162241,16,16,0.00051458,0.263199
14273,1910173,4,4,0.00146915,0.0830242
54550,22680343,8,16,0.0278879,0.105015
62022,6530137,8,16,0.00799158,0.200752
14913,948551,8,64,0.00187833,0.150282
13100,13372234,64,32,0.0140369,0.031165
33846,57168752,64,8,0.0537703,0.0116751
60136,13526515,1,64,0.0131275,0.0780079
48417,197829,32,16,0.000561952,0.211587
43293,438013,64,64,0.00169712,0.177723
38131,537992,16,2,0.000430286,0.109908
56784,7738804,64,4,0.0074916,0.0346161
57738,7362160,4,32,0.00633472,0.225081
55637,67388,8,2,8.16146e-05,0.294172
33132,407784,32,2,0.000379833,0.0880983
62120,980741,16,2,0.000721624,0.0467987
8934,7316994,8,4,0.00500825,0.0340093
25119,360136,64,64,0.00127607,0.192882
3441,24137043,32,64,0.0205036,0.0366334
4530,123576,4,1,5.29302e-05,0.151118
8508,658495,16,128,0.00166206,0.195605
15423,937363,2,64,0.00129588,0.163663
17752,14808522,1,2,0.00149649,0.0150466
51536,28880380,64,2,0.0233942,0.0036411
15976,20587195,2,32,0.0122344,0.111354
12003,4234186,32,2,0.00260706,0.0214567
31232,14014152,4,16,0.00901948,0.146015
16022,113326,32,32,0.000489009,0.358498
59917,406771,1,2,0.000105366,0.366688
44615,446690,16,4,0.000468685,0.108239
10488,819267,16,8,0.0012176,0.0931171
30978,3221957,1,16,0.00245505,0.480719
5262,626580,32,16,0.00126794,0.129755
32812,54602288,64,2,0.0449644,0.00632694
38750,702734,2,8,0.00103998,0.208599
54041,31529439,16,32,0.0239559,0.0366555
19465,112367,64,4,0.000226647,0.210437
58490,124695,64,4,0.000236427,0.200477
32166,384352,64,1,0.000269367,0.106088
61963,9096300,1,2,0.000960399,0.0137734
53420,24847604,16,32,0.0191818,0.0351123
793,160856,64,1,7.88287e-05,0.255095
15195,26607269,32,32,0.0207109,0.0399464
4686,957006,2,128,0.00156538,0.202844
37061,2159910,1,32,0.00171552,0.112801
4899,498021,2,1,0.000240271,0.102082
29112,143587,8,32,0.000526906,0.253365
8429,1103274,16,4,0.00102816,0.0393543
64647,2351131,1,128,0.00220007,0.161051
30319,3109558,4,2,0.00201623,0.239434
6471,303273,16,1,0.000144046,0.171532
59800,44690814,64,64,0.0440216,0.0168996
63370,1192215,2,32,0.00194151,0.361236
32678,344412,16,2,0.000278139,0.135139
52725,1644320,32,32,0.00241983,0.0986887
2074,26562805,32,8,0.0204302,0.0182071
50882,14901547,32,32,0.0124469,0.0581811
5563,11332892,64,32,0.0118217,0.0288427
47571,43543405,32,32,0.0339417,0.0420049
18703,5269704,2,1,0.00199822,0.00275575
50182,124608,2,8,0.000280551,0.20776
3771,22147398,16,64,0.016955,0.0330929
52404,119646,32,4,0.000179745,0.0927497
61435,545084,8,16,0.00113551,0.15976
50839,81753,2,2,0.000110365,0.26671
5758,478416,2,8,0.000757957,0.204647
27564,92157,8,4,0.000177201,0.276004
27666,262531,2,1,0.000145665,0.153412
40581,662479,2,2,0.000474829,0.0617044
22761,1785162,32,1,0.000899224,0.0496017
44645,56456686,2,1,0.018031,0.00199604
23484,2272872,32,2,0.00151055,0.0310104
16339,78601,64,8,0.000247887,0.504547
4877,66555,16,2,7.96028e-05,0.2989
64457,108742,2,2,0.000124165,0.272443
20255,3440549,1,32,0.00192889,0.0973497
37251,173665,4,4,0.000245573,0.239892
61901,6455788,4,16,0.00451311,0.130178
49367,1599198,32,1,0.000816288,0.0530866
7647,3074912,16,64,0.00360915,0.0779251
11128,32293852,32,1,0.0147647,0.0081019
11427,736483,32,16,0.00138678,0.121646
14299,1638062,1,8,0.00108892,0.101473
36296,9460219,8,16,0.0114372,0.15047
2588,83966,2,32,0.000436727,0.525261
30212,29663670,32,32,0.0231545,0.0440441
14472,617203,16,64,0.00141974,0.158573
61913,5295367,16,32,0.00476361,0.0327074
31519,47076077,64,1,0.0326582,0.00318395
56781,3169991,8,4,0.00232178,0.0292277
9495,16721355,8,8,0.0109082,0.013293
14013,32575104,16,1,0.0135919,0.00885707
51681,38017772,4,1,0.0151187,0.00482576
