msgsize,ppn,nnodes,avg,std
44754,105323,32,16,0.00034135,0.300803
21339,69100,64,4,0.000155952,0.249762
61094,83866,1,128,0.000418113,0.186753
18279,127879,8,8,0.000305002,0.298005
10095,728649,8,16,0.00141912,0.304906
33167,454515,32,4,0.000545916,0.0833257
24307,354575,64,8,0.000856751,0.194744
21787,278769,16,8,0.000618837,0.292927
9998,71318,8,128,0.000450147,0.208556
13489,112875,2,64,0.000433179,0.240178
18943,339960,16,8,0.000718845,0.26423
60599,861889,2,8,0.00101291,0.0953993
15224,278781,16,128,0.00104673,0.192342
33205,306710,8,4,0.000375886,0.179089
35583,634856,8,32,0.00136021,0.189636
38821,87356,2,4,0.000208982,0.338694
56380,276688,4,16,0.00071971,0.241613
31888,206602,1,128,0.00105671,0.506788
1696,181916,32,64,0.000729654,0.284769
448,196020,8,16,0.000522772,0.249921
55339,886708,4,1,0.000366798,0.0739638
14112,499412,32,8,0.00085322,0.170891
44414,160477,64,64,0.000652354,0.261995
9316,195459,8,4,0.000296062,0.202581
24323,164153,64,8,0.000423355,0.222611
45237,88077,64,4,0.000194011,0.256868
273,152868,64,128,0.000683246,0.252644
22805,154121,1,32,0.000488658,0.298597
26153,272012,4,8,0.000730361,0.328953
60047,510038,8,16,0.00105338,0.153074
20898,373104,32,64,0.00129561,0.246779
3929,158977,64,8,0.000425753,0.286669
17242,67522,32,64,0.000451549,0.470294
1472,157435,64,32,0.000586889,0.258146
21138,1037544,64,128,0.00225411,0.0870778
9147,617423,1,32,0.00115137,0.228303
21061,446133,64,16,0.00103611,0.112297
1080,257158,4,1,0.000101764,0.145024
12050,575993,8,2,0.000464566,0.0937456
61780,96059,2,16,0.000277823,0.308531
56687,300183,8,16,0.000782556,0.337945
14686,262414,16,1,0.00012525,0.248675
16430,191023,4,16,0.000579942,0.265785
50212,413132,4,4,0.000407782,0.10132
48905,486434,32,1,0.000228181,0.114204
36993,591731,1,8,0.000880315,0.16178
27700,691991,8,2,0.000503714,0.0759624
21664,154015,1,16,0.000548673,0.471494
19384,362026,1,64,0.00132506,0.461015
13279,561021,2,32,0.00131923,0.352255
34771,143241,4,1,5.25474e-05,0.209743
16986,371548,4,2,0.00026485,0.153608
44015,96073,1,32,0.000318496,0.293531
23422,340328,4,1,0.000119903,0.11398
23610,525682,1,128,0.00123524,0.161048
11616,698743,2,2,0.00045108,0.129754
63217,216238,4,1,7.38572e-05,0.11948
24919,117927,32,16,0.000342981,0.256206
2861,310691,16,2,0.000236293,0.143572
5090,640213,8,2,0.000466201,0.109334
65456,82039,8,4,0.000168805,0.259233
61808,864017,16,32,0.00157569,0.0993787
5545,254711,2,16,0.000677227,0.267688
45964,1042670,16,32,0.00170704,0.104234
47662,242864,8,16,0.000700993,0.276587
22617,306796,8,32,0.000876788,0.226728
16195,140165,32,64,0.000607515,0.294098
9327,79664,8,2,8.61505e-05,0.265548
58777,441594,32,1,0.000222002,0.125504
29528,84387,16,2,0.000100165,0.254242
54034,98031,4,4,0.000190456,0.33511
25198,74242,16,64,0.000342785,0.261316
52596,106239,1,16,0.000430415,0.655008
43753,403262,64,8,0.000858508,0.0807165
41719,370670,32,1,0.000178028,0.127576
22294,553518,16,2,0.000433198,0.0827098
42204,77945,2,64,0.000354428,0.306686
34084,545516,32,32,0.00138358,0.164731
40019,205060,8,64,0.000789585,0.303458
7732,531240,1,64,0.00136297,0.387953
29850,595230,2,32,0.00144018,0.662526
26446,281613,16,16,0.000809666,0.213434
17183,790739,2,32,0.00165097,0.361285
9492,575975,32,4,0.000664172,0.0867109
42271,78236,2,2,0.000107553,0.272214
41843,216865,1,32,0.000624191,0.232099
46407,292216,32,16,0.000716772,0.226974
50284,213942,1,4,0.000173853,0.331297
19642,656048,16,2,0.000545282,0.0669241
2498,79511,16,32,0.000317312,0.282375
36128,652417,8,1,0.00027006,0.104751
17236,199127,32,16,0.000511653,0.208637
29473,115202,4,2,0.000110189,0.229157
31219,104733,32,64,0.000499944,0.342485
41615,198638,32,2,0.000160964,0.132554
54484,259175,2,4,0.000317843,0.174678
48973,617536,64,32,0.00199194,0.211986
61126,94571,16,2,9.7859e-05,0.219017
28795,750060,4,4,0.000730931,0.0349549
53495,187226,8,2,0.000169377,0.178183
41386,328187,8,4,0.000397416,0.15657
24712,110468,64,4,0.000226172,0.283297
60088,519752,64,64,0.00188855,0.199344
28808,233985,16,1,9.57223e-05,0.145835
